water_year,date_level,ror_level,ror_rel_level,date_flow,ror_flow,ror_rel_flow
1971,1971-09-01 15:45:00,0.8,6.154,1971-09-01 15:45:00,25.03,30.157
1972,1972-01-10 22:00:00,0.17,,1972-01-11 18:00:00,6.04,0.345
1973,1972-12-05 13:30:00,0.18,0.234,1972-12-05 13:30:00,8.39,0.457
1974,1974-01-04 23:30:00,0.11,,1973-11-12 10:45:00,5.78,0.061
1975,1974-11-09 06:00:00,0.25,0.236,1974-11-09 06:00:00,14.6,0.447
1976,1976-01-22 12:30:00,0.21,0.262,1976-01-22 12:30:00,10.06,0.504
1977,1977-03-15 21:30:00,0.25,0.455,1977-09-10 02:45:00,10.88,0.195
1978,1977-10-30 22:30:00,0.29,0.21,1977-10-30 22:30:00,20.7,0.401
1979,1979-09-20 12:30:00,0.22,0.328,1979-03-02 04:00:00,10.05,0.132
1980,1980-06-23 21:45:00,0.22,0.301,1980-06-23 21:45:00,10.12,0.602
1981,1981-09-20 01:30:00,0.19,0.25,1981-09-20 01:45:00,9.93,0.372
1982,1982-09-24 17:15:00,0.31,0.323,1982-09-24 17:15:00,17.32,0.642
1983,1983-05-07 14:45:00,0.5,0.758,1983-05-07 14:45:00,23.51,1.656
1984,1983-12-31 22:15:00,0.2,0.19,1983-12-31 22:15:00,11.5,0.361
1985,1984-10-03 22:45:00,0.38,0.514,1985-09-21 03:30:00,19.6,0.278
1986,1986-01-12 19:45:00,0.24,0.348,1986-01-12 19:45:00,10.59,0.694
1987,1987-08-12 20:00:00,0.27,0.6,1987-08-12 20:00:00,9.2,1.303
1988,1988-03-15 19:00:00,0.27,0.276,1988-03-15 19:00:00,15.22,0.544
1989,1989-01-11 14:30:00,0.27,0.365,1989-01-11 14:30:00,13.32,0.73
1990,1990-05-16 17:30:00,0.6,1.429,1990-05-16 17:30:00,25.42,3.733
1991,1991-08-09 08:15:00,0.37,1.37,1991-08-09 08:15:00,11.26,3.692
1992,1992-07-26 21:45:00,0.36,,1992-09-27 05:15:00,13.92,1.645
1993,1993-06-09 18:45:00,0.59,3.687,1993-06-09 18:45:00,17.66,14.84
1994,1993-10-06 06:45:00,0.46,0.958,1993-10-06 06:45:00,19.39,2.303
1995,1994-10-23 05:15:00,0.63,1.05,1994-10-23 05:15:00,31.86,2.515
1996,1995-11-15 19:30:00,0.51,1.133,1995-11-15 19:30:00,21.33,2.774
1997,1996-10-25 03:15:00,0.35,0.714,1996-10-25 03:15:00,13.78,1.543
1998,1998-05-31 17:30:00,0.3,,1998-07-30 15:30:00,9.32,0.255
1999,1999-05-12 16:45:00,0.5,1.724,1999-05-12 16:45:00,16.8,4.641
2000,2000-09-11 08:15:00,0.37,0.841,2000-03-08 20:15:00,14.42,0.126
2001,2001-07-04 01:45:00,1.22,7.176,2001-07-04 01:45:00,53.98,40.894
2002,2002-08-07 06:30:00,0.42,1.235,2002-07-30 21:00:00,18.83,1.083
2003,2003-05-24 21:15:00,0.32,0.941,2003-05-24 21:15:00,10.52,2.277
2004,2004-08-09 03:45:00,0.41,1.864,2004-08-09 03:45:00,11.47,4.84
2005,2005-03-28 14:30:00,0.28,,2005-09-26 22:45:00,7.6,1.369
2006,2006-09-29 18:45:00,0.54,1.08,2006-09-29 18:45:00,24.22,2.638
2007,2007-07-17 21:00:00,0.45,1.25,2007-07-17 21:00:00,16.48,3.206
2008,2008-07-10 09:30:00,0.46,1.353,2008-07-10 09:30:00,16.22,3.444
2009,2009-04-08 07:30:00,0.21,,2008-11-09 00:45:00,8.48,0.625
2010,2010-01-15 22:30:00,0.51,0.68,2010-01-15 22:30:00,28.15,1.49
2011,2010-12-10 14:15:00,0.42,0.824,2010-12-10 14:15:00,17.93,1.885
2012,2012-06-22 09:15:00,0.42,0.84,2012-06-22 09:15:00,17.85,1.944
2013,2013-09-07 03:45:00,0.45,1.098,2013-09-07 03:45:00,17.6,2.683
2014,2013-10-03 04:30:00,0.4,0.93,2013-10-03 04:30:00,15.2,2.132
2015,2015-07-04 14:45:00,0.29,,2015-06-01 22:30:00,11.73,0.94
2016,2016-05-21 22:15:00,0.28,,2016-05-21 22:15:00,7.56,
2017,2017-06-29 14:15:00,0.27,,2017-06-29 14:15:00,8.21,1.728
2018,2017-12-24 00:30:00,0.28,0.8,2018-06-20 04:15:00,11.75,0.699
2019,2019-06-10 00:15:00,0.24,,2019-08-09 13:00:00,9.03,0.961
2020,2020-06-10 21:15:00,0.34,1.133,2020-06-28 08:00:00,10.66,0.477
2021,2020-12-09 09:30:00,0.17,,2021-01-10 16:30:00,5.62,0.235
2022,2021-12-31 09:45:00,0.1,0.1,2021-12-31 09:45:00,5.45,0.174
