water_year,date_level,ror_level,ror_rel_level,date_flow,ror_flow,ror_rel_flow
1992,1992-08-03 08:15:00,0.15,,1992-09-06 16:00:00,6.58,0.142
1993,1992-10-02 15:30:00,0.09,0.081,1992-10-02 15:30:00,5.14,0.18
1994,1994-06-25 04:15:00,0.15,,1994-01-26 21:00:00,8.2,0.152
1995,1995-02-03 04:00:00,0.08,0.067,1995-02-03 04:30:00,6.09,0.143
1996,1996-06-03 19:00:00,0.18,,1996-06-03 19:00:00,6.24,
1997,1997-05-04 13:15:00,0.15,,1997-02-03 20:30:00,5.13,0.375
1998,1998-09-01 15:30:00,0.35,0.547,1998-09-01 15:30:00,11.75,2.065
1999,1998-12-08 05:00:00,0.25,0.333,1998-12-08 05:00:00,9.01,1.031
2000,2000-09-06 11:00:00,0.19,0.192,2000-09-06 11:00:00,9.3,0.537
2001,2001-07-04 00:30:00,0.13,,2000-10-18 00:45:00,4.91,0.293
2002,2002-04-21 09:45:00,0.3,,2002-04-21 09:45:00,7.83,
2003,2002-10-11 22:30:00,0.12,,2002-11-06 04:00:00,4.02,0.115
2004,2004-05-04 09:30:00,0.2,,2004-08-09 18:00:00,10.19,0.188
2005,2005-08-24 09:30:00,0.24,,2005-08-24 09:30:00,5.56,
2006,2006-06-20 22:15:00,0.48,,2006-06-20 22:15:00,13.28,
2007,2007-06-20 14:30:00,0.31,,2007-04-25 11:30:00,9.86,0.666
2008,2008-08-01 12:00:00,0.22,0.218,2008-08-01 12:00:00,10.66,0.586
2009,2009-06-17 16:45:00,0.34,,2009-06-17 16:45:00,8.3,
2010,2010-07-04 18:00:00,0.2,,2010-09-29 14:00:00,5.68,0.486
2011,2011-09-25 21:00:00,0.48,0.676,2011-09-25 21:00:00,20.33,2.88
2012,2012-08-29 15:45:00,0.26,0.245,2012-08-29 15:45:00,13.95,0.683
2013,2013-05-03 20:00:00,0.18,,2013-05-03 20:15:00,6.95,0.522
2014,2013-10-03 05:15:00,0.31,,2013-10-03 05:15:00,8.52,
2015,2015-07-17 06:30:00,0.17,0.139,2015-07-17 06:30:00,9.39,0.323
2016,2016-04-01 19:30:00,0.4,,2016-04-01 19:30:00,10.89,
2017,2017-07-26 18:30:00,0.19,,2017-07-26 18:30:00,4.27,
2018,2018-09-16 08:00:00,0.35,,2018-09-16 08:15:00,9.38,0.85
2019,2019-03-02 23:00:00,0.12,,2019-03-12 03:30:00,4.36,0.169
2020,2020-09-30 17:15:00,0.36,,2020-09-30 17:15:00,8.03,
2021,2021-05-03 19:45:00,0.12,,2021-03-28 21:00:00,4.42,0.27
2022,2021-10-24 07:45:00,0.13,0.155,2021-10-24 07:45:00,4.86,
