water_year,date_level,ror_level,ror_rel_level,date_flow,ror_flow,ror_rel_flow
1986,1986-07-22 11:45:00,0.1,,1986-06-18 01:45:00,4.15,0.348
1987,1986-10-04 19:15:00,0.34,,1986-10-04 19:15:00,8.83,
1988,1988-06-09 09:30:00,0.1,,1988-07-22 22:00:00,3.16,0.229
1989,1989-05-31 18:30:00,0.12,,1988-10-26 01:15:00,2.99,0.215
1990,1990-04-26 18:30:00,0.12,,1989-10-31 09:00:00,3.62,
1991,1991-05-22 18:30:00,0.12,,1990-10-16 04:45:00,3.58,0.4
1992,1992-05-27 18:15:00,0.13,,1992-08-13 00:00:00,3.65,0.251
1993,1993-03-11 18:30:00,0.1,,1993-05-16 12:30:00,2.66,0.097
1994,1994-07-13 18:30:00,0.15,,1993-10-02 17:45:00,1.97,
1995,1995-07-26 19:00:00,0.18,,1995-01-31 12:15:00,3.06,0.056
1996,1996-09-04 18:45:00,0.15,,1995-10-26 08:30:00,1.6,0.052
1997,1997-02-19 16:30:00,0.12,0.096,1997-02-19 16:30:00,10.98,0.217
1998,1998-07-31 17:45:00,0.18,0.409,1998-07-31 17:45:00,4.89,0.7
1999,1999-08-04 18:30:00,0.18,,1999-05-12 17:00:00,3.88,0.158
2000,2000-06-28 18:30:00,0.12,,2000-09-11 09:00:00,6.41,0.214
2001,2001-09-19 18:30:00,0.12,,2000-12-05 14:15:00,4.64,0.075
2002,2002-08-06 18:30:00,0.23,,2002-03-10 12:00:00,9.49,0.755
2003,2003-04-09 18:45:00,0.11,,2002-10-22 02:15:00,3.45,0.073
2004,2003-10-15 08:45:00,0.14,,2004-08-09 15:45:00,4.44,0.248
2005,2005-07-13 18:30:00,0.13,,2005-01-08 00:00:00,7.72,0.108
2006,2006-07-26 08:45:00,0.12,,2005-10-11 22:45:00,7.04,0.085
2007,2007-07-03 19:15:00,0.12,0.231,2007-07-03 19:15:00,3.64,0.426
2008,2008-05-10 15:30:00,0.37,0.841,2008-05-10 15:45:00,14.66,0.724
2009,2009-06-24 18:30:00,0.07,,2008-12-19 17:30:00,2.86,0.088
2010,2010-06-16 18:30:00,0.08,,2009-11-19 13:15:00,7.15,0.062
2011,2011-07-19 22:45:00,0.11,,2011-02-04 21:45:00,4.86,0.09
2012,2012-08-29 11:30:00,0.09,0.145,2011-12-01 02:00:00,5.29,0.073
2013,2013-06-12 09:30:00,0.08,,2013-04-14 07:45:00,3.62,0.097
2014,2014-07-31 13:15:00,0.06,,2014-02-23 15:00:00,3.52,0.049
2015,2015-09-02 15:15:00,0.13,,2015-09-02 15:15:00,2.63,
2016,2016-06-06 17:30:00,0.15,,2015-12-30 07:45:00,7.98,0.133
2017,2016-12-23 13:00:00,0.07,0.113,2016-12-23 14:15:00,3.49,0.143
2018,2018-06-01 16:00:00,0.1,,2018-01-24 05:00:00,4.94,0.079
2019,2019-03-18 13:30:00,0.06,0.098,2019-03-16 15:30:00,2.61,0.127
2020,2020-08-02 03:30:00,0.26,,2020-08-02 03:30:00,5.27,
2021,2021-07-27 12:30:00,0.22,,2021-07-27 12:30:00,3.1,
2022,2021-12-15 12:15:00,0.11,,2021-10-29 13:45:00,5.96,0.088
