water_year,date_level,ror_level,ror_rel_level,date_flow,ror_flow,ror_rel_flow
1990,1989-12-17 04:45:00,0.14,,1990-03-10 11:30:00,6.8,0.133
1991,1990-12-11 06:00:00,0.38,0.481,1990-12-11 06:00:00,17.68,1.483
1992,1992-01-06 08:15:00,0.18,0.207,1992-01-01 00:30:00,10.32,0.267
1993,1993-03-15 15:00:00,0.09,,1993-01-16 17:30:00,5.32,0.063
1994,1993-10-04 08:30:00,0.08,,1994-03-22 07:00:00,4.7,0.157
1995,1995-09-23 16:45:00,0.08,,1995-02-06 08:30:00,4.57,0.095
1996,1996-01-04 08:30:00,0.23,0.245,1996-01-04 08:30:00,12.04,0.628
1997,1997-08-13 21:30:00,0.1,,1996-10-19 04:30:00,5.17,0.144
1998,1998-08-11 22:45:00,0.1,,1998-04-29 20:30:00,3.9,
1999,1999-09-11 12:45:00,0.12,,1999-09-11 13:00:00,5.5,0.423
2000,1999-12-05 19:15:00,0.1,0.101,1999-12-05 20:30:00,6.6,0.133
2001,2001-01-24 14:15:00,0.2,0.286,2001-01-24 14:15:00,8.05,0.874
2002,2002-09-25 17:30:00,0.11,,2002-07-31 03:15:00,5.43,0.244
2003,2003-01-12 08:45:00,0.19,,2003-01-12 08:45:00,6.09,
2004,2004-09-12 03:15:00,0.12,,2004-02-02 18:00:00,6.2,0.143
2005,2004-11-21 15:30:00,0.13,0.113,2004-11-21 16:00:00,7.77,0.169
2006,2006-05-05 08:00:00,0.37,,2006-05-05 08:00:00,9.82,
2007,2007-07-06 15:15:00,0.12,,2006-10-30 19:00:00,5.29,0.254
2008,2008-09-15 19:45:00,0.11,,2008-02-21 10:45:00,5.04,0.087
2009,2009-07-03 00:15:00,0.17,,2009-06-18 10:15:00,4.2,
2010,2010-01-16 06:30:00,1.06,1.165,2010-01-16 06:30:00,78.66,4.186
2011,2010-12-29 22:45:00,0.38,0.475,2010-12-29 22:45:00,17.99,1.246
2012,2012-03-09 08:15:00,0.08,0.068,2012-03-09 08:15:00,4.83,0.142
2013,2013-07-26 15:15:00,0.13,,2013-01-02 19:00:00,23.44,inf
2014,2013-12-20 19:30:00,0.08,0.067,2013-12-14 15:45:00,24.54,inf
2015,2014-10-21 05:00:00,0.07,,2014-10-21 06:00:00,23.13,inf
2016,2015-12-30 04:15:00,0.12,0.122,2016-02-01 06:45:00,6.93,0.121
2017,2016-11-16 03:00:00,0.07,,2016-12-25 02:00:00,3.3,0.139
2018,2018-01-28 20:30:00,0.09,0.073,2018-01-28 21:00:00,5.68,0.117
2019,2019-07-29 22:15:00,0.21,,2019-07-29 22:15:00,5.82,
2020,2019-12-05 17:30:00,0.11,0.116,2019-12-05 18:30:00,6.34,0.19
2021,2021-07-10 22:15:00,0.18,,2021-07-10 22:15:00,7.01,
2022,2021-11-26 00:15:00,0.05,0.047,2021-11-26 00:15:00,2.81,0.101
