water_year,date_level,ror_level,ror_rel_level,date_flow,ror_flow,ror_rel_flow
1991,1991-01-01 17:00:00,0.1,0.135,1991-01-01 17:00:00,1.34,0.307
1992,1992-08-30 10:45:00,0.06,0.176,1992-08-30 12:00:00,0.45,0.251
1993,1993-01-16 14:00:00,0.07,0.056,1993-01-15 09:45:00,1.89,0.133
1994,1994-01-26 19:45:00,0.07,0.149,1993-10-07 10:45:00,0.71,0.117
1995,1994-11-14 16:15:00,0.07,0.093,1994-11-14 16:15:00,0.84,0.205
1996,1996-08-29 09:00:00,0.12,,1995-10-26 05:45:00,0.72,0.203
1997,1996-10-28 09:15:00,0.06,0.102,1996-10-28 09:45:00,0.68,0.226
1998,1997-12-18 20:45:00,0.05,0.083,1997-12-18 22:45:00,0.84,0.14
1999,1999-09-23 05:00:00,0.19,0.297,1999-09-23 05:00:00,2.19,0.802
2000,2000-04-26 21:15:00,0.21,0.253,2000-04-26 21:15:00,3.22,0.649
2001,2000-10-09 17:30:00,0.14,0.304,2000-12-08 09:45:00,1.48,0.163
2002,2001-10-08 00:30:00,0.15,0.313,2001-10-08 00:30:00,1.2,0.833
2003,2002-11-14 14:45:00,0.08,0.123,2002-11-14 14:45:00,0.85,0.304
2004,2003-11-29 17:30:00,0.08,0.129,2003-11-29 17:30:00,0.78,0.305
2005,2005-06-04 16:00:00,0.2,0.37,2005-06-04 16:00:00,1.89,1.0
2006,2005-10-24 13:00:00,0.21,0.323,2005-10-24 13:00:00,2.38,0.844
2007,2007-07-03 18:15:00,0.11,0.297,2006-12-13 19:45:00,1.27,0.073
2008,2008-08-01 08:00:00,0.1,0.208,2008-08-01 08:00:00,1.05,0.556
2009,2009-07-06 10:30:00,0.19,0.792,2009-07-06 10:30:00,1.27,7.056
2010,2010-07-21 05:15:00,0.13,0.25,2010-07-21 05:15:00,1.42,0.612
2011,2011-09-12 16:45:00,0.07,0.106,2011-01-15 14:30:00,0.73,0.059
2012,2012-08-21 14:00:00,0.13,0.255,2012-08-21 14:00:00,1.44,0.646
2013,2013-07-23 23:15:00,0.07,,2012-12-20 14:00:00,0.81,0.071
2014,2013-10-22 03:00:00,0.07,0.13,2013-10-22 03:00:00,0.73,0.286
2015,2015-01-10 04:15:00,0.12,0.16,2015-01-10 05:00:00,1.48,0.228
2016,2016-08-03 07:00:00,0.14,0.389,2016-08-03 07:00:00,1.24,1.305
2017,2016-12-23 16:00:00,0.05,0.104,2017-03-04 10:15:00,0.48,0.196
2018,2018-01-03 01:45:00,0.08,0.148,2018-01-03 01:45:00,0.77,0.309
2019,2019-08-09 13:15:00,0.09,0.15,2019-08-09 16:15:00,1.2,0.112
2020,2020-08-11 23:15:00,0.17,0.293,2020-08-12 03:30:00,1.76,0.094
2021,2021-08-08 07:45:00,0.06,,2021-02-04 23:45:00,0.67,0.063
2022,2021-10-27 19:15:00,0.02,,2021-10-29 13:45:00,0.19,0.144
