water_year,date_level,ror_level,ror_rel_level,date_flow,ror_flow,ror_rel_flow
1992,1992-09-06 16:30:00,0.1,,1992-09-06 18:00:00,1.82,
1993,1993-03-17 08:15:00,0.07,,1993-01-15 07:00:00,1.61,0.019
1994,1993-12-29 15:45:00,0.07,,1993-12-29 17:15:00,1.28,0.029
1995,1995-01-31 04:45:00,0.1,,1995-01-31 05:30:00,1.62,
1996,1996-08-11 01:30:00,0.13,,1996-08-11 01:30:00,1.36,
1997,1997-07-31 12:45:00,0.1,,1997-02-17 18:30:00,1.48,0.028
1998,1998-03-26 12:45:00,0.11,,1998-09-01 22:45:00,1.67,
1999,1998-10-09 22:15:00,0.31,,1998-10-09 22:15:00,3.32,
2000,1999-11-28 06:30:00,0.12,0.031,1999-11-28 06:30:00,2.72,0.049
2001,2001-07-04 01:15:00,0.23,,2001-07-04 01:15:00,2.45,
2002,2002-04-21 12:45:00,0.27,,2002-04-21 12:45:00,3.27,
2003,2002-10-12 06:45:00,0.3,,2002-10-12 06:45:00,4.85,
2004,2003-11-02 20:45:00,0.44,,2003-11-02 20:45:00,5.54,
2005,2005-06-19 14:30:00,0.46,,2005-06-19 14:30:00,7.52,
2006,2006-09-07 11:00:00,0.54,,2006-09-07 11:00:00,9.04,
2007,2007-09-16 19:00:00,0.23,,2007-09-16 19:00:00,3.11,
2008,2008-02-21 22:45:00,0.69,,2008-02-21 22:45:00,10.1,
2009,2008-11-08 13:30:00,0.17,,2009-08-24 03:30:00,3.03,0.04
2010,2010-04-26 11:15:00,0.18,,2009-11-06 08:30:00,2.32,
2011,2011-06-22 11:45:00,0.21,0.062,2011-06-22 11:45:00,4.68,0.104
2012,2012-08-17 14:30:00,0.25,,2012-07-18 13:00:00,4.75,0.122
2013,2012-12-28 12:00:00,0.27,0.083,2012-12-28 12:00:00,5.9,0.148
2014,2013-10-19 15:15:00,0.07,0.017,2013-10-19 19:00:00,1.84,0.026
2015,2015-01-01 19:30:00,0.09,0.027,2015-01-15 02:45:00,2.17,0.027
2016,2015-12-30 09:00:00,0.1,0.028,2015-12-30 22:30:00,3.77,0.031
2017,2017-09-25 09:00:00,1.48,0.74,2017-09-25 09:00:00,22.66,
2018,2018-09-18 23:30:00,1.81,0.989,2018-09-18 23:30:00,28.1,
2019,2018-10-10 10:00:00,1.72,0.625,2018-10-10 10:00:00,36.68,1.466
2020,2019-10-07 21:30:00,0.32,0.087,2019-10-07 21:30:00,7.3,0.176
2021,2020-10-04 01:00:00,0.09,,2021-02-05 04:00:00,2.39,0.025
2022,2021-12-01 08:30:00,0.07,,2021-10-27 08:45:00,1.69,0.035
