water_year,date_level,ror_level,ror_rel_level,date_flow,ror_flow,ror_rel_flow
1978,1978-03-19 14:45:00,0.18,0.133,1978-03-19 15:00:00,7.73,0.731
1979,1978-11-12 17:15:00,0.27,0.221,1978-11-12 17:30:00,10.97,1.227
1980,1980-09-07 09:45:00,0.45,0.3,1980-09-07 09:45:00,21.7,2.338
1981,1981-09-17 03:45:00,0.43,0.956,1981-01-01 00:00:00,49.44,3.93
1982,1981-11-17 03:00:00,0.25,,1981-11-17 03:00:00,7.86,1.177
1983,1983-02-04 18:30:00,0.49,0.803,1983-02-04 18:30:00,22.08,1.66
1984,1984-01-13 01:15:00,0.19,0.207,1984-01-13 01:15:00,9.68,0.369
1985,1985-02-23 02:00:00,0.45,,1985-02-23 02:00:00,13.01,4.801
1986,1986-08-14 02:45:00,0.49,0.942,1986-08-14 02:45:00,20.35,2.037
1987,1987-06-05 23:45:00,0.33,,1986-12-15 08:00:00,11.83,0.461
1988,1988-04-18 06:45:00,0.38,,1987-10-07 14:00:00,12.72,0.907
1989,1988-10-19 04:15:00,0.41,1.025,1988-10-19 04:15:00,14.68,2.245
1990,1990-06-06 16:45:00,0.52,,1990-06-06 16:45:00,15.13,7.88
1991,1991-09-21 16:30:00,0.47,,1991-09-21 16:30:00,13.16,9.97
1992,1992-02-12 16:00:00,0.36,,1992-02-12 16:00:00,11.94,2.843
1993,1993-07-29 07:45:00,0.29,,1992-12-18 00:45:00,8.78,0.699
1994,1994-07-31 21:00:00,0.62,3.875,1994-07-31 21:00:00,19.63,18.009
1995,1995-07-15 16:15:00,0.4,,1995-01-31 02:15:00,11.22,1.186
1996,1996-05-28 19:00:00,0.42,,1996-05-28 19:00:00,10.24,13.128
1997,1997-04-01 09:00:00,0.42,,1997-04-23 19:45:00,10.35,1.494
1998,1998-07-19 15:30:00,0.41,0.651,1998-07-19 15:30:00,14.92,2.925
1999,1999-09-08 18:00:00,0.46,0.836,1999-09-08 18:00:00,15.32,4.415
2000,1999-11-26 12:15:00,0.41,0.333,1999-11-26 12:15:00,29.17,0.965
2001,2001-09-26 23:30:00,0.41,,2001-09-26 23:30:00,11.95,34.143
2002,2001-10-14 17:15:00,0.2,,2001-10-23 17:45:00,7.42,0.596
2003,2003-01-12 15:15:00,0.37,,2003-01-12 15:15:00,10.7,11.758
2004,2004-08-09 06:00:00,0.38,0.927,2004-08-09 06:00:00,14.21,2.134
2005,2005-04-28 09:00:00,0.36,,2005-04-28 09:00:00,9.63,4.964
2006,2006-05-02 19:45:00,0.25,,2006-05-02 20:00:00,8.8,0.94
2007,2007-06-20 09:45:00,0.49,,2007-07-14 01:00:00,16.05,4.547
2008,2008-07-31 04:00:00,0.59,4.214,2008-07-31 04:00:00,17.81,21.202
2009,2009-08-14 16:45:00,0.29,,2008-10-04 10:00:00,8.81,1.867
2010,2009-10-24 15:00:00,0.35,,2009-10-24 15:00:00,8.33,3.686
2011,2010-10-01 14:00:00,0.23,,2010-10-01 14:00:00,6.08,1.339
2012,2012-08-27 12:00:00,0.36,,2012-01-04 17:15:00,14.61,0.313
2013,2013-09-15 10:00:00,0.31,,2013-09-15 10:00:00,7.25,
2014,2014-05-20 00:00:00,0.51,2.217,2014-05-20 00:00:00,14.65,6.659
2015,2014-12-06 15:30:00,0.45,,2014-12-06 15:30:00,11.53,6.301
2016,2016-08-03 05:45:00,0.36,,2016-08-03 05:45:00,7.53,
2017,2017-08-23 05:30:00,0.34,,2017-08-23 05:30:00,10.59,1.991
2018,2017-12-07 03:30:00,0.22,,2017-12-07 03:30:00,6.91,1.071
2019,2019-08-09 12:30:00,0.3,,2019-08-09 12:30:00,9.62,1.631
2020,2020-08-04 13:15:00,0.22,0.415,2020-08-04 13:15:00,8.03,0.856
2021,2021-03-09 22:30:00,0.25,,2021-03-09 22:30:00,6.78,1.789
2022,2021-10-07 15:30:00,0.13,,2021-10-07 15:30:00,3.33,
