water_year,date_level,ror_level,ror_rel_level,date_flow,ror_flow,ror_rel_flow
1993,1993-01-23 23:00:00,0.11,0.239,1993-01-09 04:15:00,0.7,0.332
1994,1993-10-04 01:45:00,0.06,0.158,1993-10-04 01:45:00,0.15,0.484
1995,1994-12-28 15:30:00,0.08,0.174,1994-12-11 04:30:00,0.36,0.324
1996,1995-10-01 00:00:00,0.07,0.212,1996-02-18 01:00:00,0.16,0.222
1997,1996-10-27 21:30:00,0.06,0.171,1997-02-17 16:15:00,0.23,0.205
1998,1998-09-01 18:45:00,0.06,0.097,1998-09-01 18:45:00,0.36,0.281
1999,1999-07-19 00:00:00,0.11,,1998-10-20 20:15:00,0.48,0.147
2000,2000-07-29 13:45:00,0.1,,1999-11-28 13:45:00,0.28,0.255
2001,2001-01-22 11:30:00,0.05,,2000-12-12 18:30:00,0.18,0.4
2002,2002-07-30 13:45:00,0.14,0.264,2002-07-30 13:45:00,0.75,0.893
2003,2003-01-20 13:30:00,0.04,0.078,2003-05-01 00:15:00,0.18,0.281
2004,2004-08-18 15:45:00,0.09,0.257,2004-08-18 16:15:00,0.32,0.464
2005,2005-01-19 11:15:00,0.12,0.414,2005-06-19 06:15:00,0.56,0.415
2006,2006-07-09 02:30:00,0.08,0.242,2006-05-04 22:45:00,0.25,0.275
2007,2007-03-11 22:15:00,0.08,0.296,2006-12-13 13:30:00,0.25,0.088
2008,2008-02-29 15:15:00,0.06,0.094,2008-02-29 15:15:00,0.33,0.236
2009,2009-07-02 13:45:00,0.11,,2009-09-08 07:15:00,0.55,0.186
2010,2009-11-19 15:30:00,0.06,0.095,2009-11-19 15:30:00,0.34,0.258
2011,2011-01-15 05:45:00,0.04,0.077,2011-09-12 07:15:00,0.19,0.133
2012,2011-12-08 07:30:00,0.05,0.098,2011-12-08 08:15:00,0.31,0.23
2013,2013-01-25 15:15:00,0.09,,2012-11-19 06:45:00,0.7,0.252
2014,2014-06-07 19:30:00,0.05,0.143,2013-10-25 12:30:00,0.13,0.255
2015,2015-07-06 23:30:00,0.05,0.135,2015-01-01 11:15:00,0.22,0.222
2016,2015-12-30 08:30:00,0.05,0.063,2015-12-30 08:30:00,0.39,0.164
2017,2017-06-21 19:15:00,0.05,,2017-02-26 15:00:00,0.13,0.165
2018,2018-09-16 10:30:00,0.21,1.312,2018-09-16 10:30:00,0.25,12.5
2019,2019-02-01 03:45:00,0.2,1.429,2019-08-09 13:15:00,0.4,0.315
2020,2020-01-15 13:15:00,0.09,,2020-08-04 15:00:00,0.44,0.243
2021,2021-09-01 04:45:00,0.08,,2021-08-07 18:45:00,0.26,0.342
2022,2021-10-07 14:00:00,0.02,0.056,2021-10-24 06:15:00,0.09,0.136
