water_year,date_level,ror_level,ror_rel_level,date_flow,ror_flow,ror_rel_flow
1991,1991-01-01 19:00:00,0.05,0.052,1991-03-18 22:30:00,1.42,0.089
1992,1992-03-31 12:45:00,0.1,0.096,1992-03-31 12:45:00,3.29,0.168
1993,1993-07-16 13:30:00,0.1,,1993-04-09 17:00:00,2.79,0.097
1994,1993-10-07 05:15:00,0.08,0.084,1993-10-07 07:15:00,2.53,0.082
1995,1995-07-07 09:00:00,0.14,,1995-06-01 15:45:00,1.23,0.097
1996,1995-11-15 10:30:00,0.12,0.104,1995-11-15 10:30:00,3.95,0.193
1997,1997-05-04 17:15:00,0.07,,1997-05-04 17:45:00,1.84,0.22
1998,1998-04-03 08:30:00,0.09,0.074,1998-04-03 08:30:00,3.29,0.134
1999,1998-10-16 13:30:00,0.09,0.08,1998-10-16 13:45:00,3.1,0.124
2000,1999-12-24 21:45:00,0.09,0.107,2000-04-26 19:30:00,3.23,0.097
2001,2000-10-09 18:00:00,0.09,0.118,2000-12-08 07:15:00,3.0,0.095
2002,2002-07-31 01:30:00,0.23,0.39,2002-07-31 01:30:00,5.59,0.763
2003,2002-11-03 00:30:00,0.1,0.083,2002-11-03 00:30:00,3.38,0.137
2004,2004-07-04 15:45:00,0.08,,2004-08-11 06:45:00,2.43,0.097
2005,2004-10-29 07:45:00,0.09,0.1,2004-10-29 07:45:00,2.63,0.177
2006,2006-09-14 19:30:00,0.08,,2006-03-26 02:45:00,1.84,0.112
2007,2006-10-26 01:15:00,0.07,0.061,2006-10-26 01:15:00,2.15,0.095
2008,2008-08-10 02:30:00,0.16,0.138,2008-08-10 02:30:00,5.79,0.247
2009,2009-07-06 11:15:00,0.34,,2009-07-06 11:30:00,6.05,0.846
2010,2009-11-01 15:30:00,0.11,0.078,2009-11-01 15:30:00,4.46,0.137
2011,2011-07-16 21:15:00,0.08,,2011-02-19 08:15:00,1.73,0.089
2012,2012-07-18 13:00:00,0.1,0.091,2012-07-18 13:30:00,3.88,0.138
2013,2013-05-20 16:30:00,0.23,,2013-05-20 16:30:00,4.98,
2014,2014-06-05 05:30:00,0.06,,2013-10-22 02:45:00,1.59,0.132
2015,2014-11-14 14:45:00,0.08,0.083,2014-11-14 15:30:00,2.74,0.111
2016,2016-01-10 00:30:00,0.08,0.08,2016-01-10 01:30:00,3.01,0.104
2017,2017-05-27 20:00:00,0.13,,2017-02-07 07:30:00,2.74,0.16
2018,2018-03-06 10:15:00,0.06,0.052,2018-03-06 10:45:00,1.89,0.069
2019,2019-06-29 19:15:00,0.11,,2019-06-29 19:30:00,2.05,
2020,2019-11-04 12:30:00,0.09,0.071,2019-11-04 12:30:00,3.15,0.115
2021,2021-05-03 18:00:00,0.11,,2021-02-04 19:45:00,2.38,0.061
2022,2021-10-27 18:45:00,0.03,,2021-10-27 18:45:00,0.89,
