water_year,date_level,ror_level,ror_rel_level,date_flow,ror_flow,ror_rel_flow
1992,1992-08-03 05:15:00,0.1,,1992-08-03 05:30:00,13.41,
1993,1993-01-15 09:30:00,0.07,0.032,1993-01-15 09:15:00,11.43,0.043
1994,1994-08-23 10:15:00,0.13,,1994-08-23 10:30:00,11.37,
1995,1995-01-31 07:45:00,0.07,,1995-01-31 08:30:00,11.8,0.111
1996,1996-04-22 02:00:00,0.09,,1996-04-22 02:00:00,11.99,
1997,1997-05-18 19:30:00,0.07,,1997-02-19 16:45:00,11.08,0.046
1998,1998-09-01 14:45:00,0.1,,1998-09-01 20:30:00,12.58,
1999,1999-09-06 20:45:00,0.1,,1998-10-20 22:00:00,9.15,0.062
2000,2000-09-06 10:15:00,0.14,,1999-11-27 06:30:00,15.07,0.156
2001,2001-07-04 03:30:00,0.17,,2001-07-04 03:45:00,20.28,
2002,2002-07-30 19:00:00,0.11,0.085,2002-07-30 19:00:00,20.63,0.168
2003,2002-10-09 07:00:00,0.1,,2003-01-17 06:30:00,10.75,
2004,2004-08-18 19:30:00,0.21,,2004-08-18 19:30:00,32.95,
2005,2004-10-21 08:30:00,0.1,0.088,2004-10-21 08:30:00,17.85,0.189
2006,2006-06-20 22:00:00,0.09,,2006-09-20 10:45:00,9.03,
2007,2006-11-10 19:15:00,0.08,,2006-11-19 22:30:00,12.32,0.098
2008,2008-08-01 11:30:00,0.18,,2008-08-01 11:45:00,27.48,
2009,2008-12-12 23:00:00,0.09,,2009-08-31 19:15:00,12.54,0.107
2010,2010-07-04 14:00:00,0.09,,2010-09-22 22:45:00,9.65,
2011,2011-03-31 10:45:00,0.11,,2011-09-25 19:30:00,11.21,
2012,2012-07-18 10:15:00,0.11,0.097,2012-07-18 10:30:00,19.35,0.174
2013,2013-09-15 13:15:00,0.09,,2013-01-29 17:30:00,10.36,0.042
2014,2014-08-13 05:30:00,0.1,,2014-02-01 17:15:00,13.04,
2015,2015-07-17 05:45:00,0.14,,2015-07-17 05:45:00,16.56,
2016,2016-03-01 02:15:00,0.19,,2016-03-01 02:15:00,19.48,
2017,2017-08-23 09:45:00,0.09,,2017-08-23 09:45:00,10.21,
2018,2018-01-03 16:45:00,0.07,0.046,2018-01-03 16:45:00,12.32,0.075
2019,2019-08-09 15:15:00,0.12,,2019-08-09 15:15:00,15.89,
2020,2020-08-04 15:45:00,0.12,,2020-08-04 16:00:00,13.44,
2021,2021-08-07 22:45:00,0.1,,2021-03-28 19:45:00,8.88,
2022,2021-10-24 06:00:00,0.08,,2021-10-24 06:00:00,7.96,
