water_year,date_level,ror_level,ror_rel_level,date_flow,ror_flow,ror_rel_flow
1988,1988-07-22 05:45:00,0.3,,1988-07-22 06:00:00,11.82,1.045
1989,1989-08-20 19:15:00,0.21,0.158,1989-08-20 19:00:00,9.78,0.563
1990,1990-06-06 18:15:00,0.34,0.358,1990-06-06 18:30:00,14.44,0.652
1991,1990-10-02 20:00:00,0.22,0.157,1991-01-01 14:30:00,10.65,0.436
1992,1992-08-03 06:00:00,0.59,,1992-08-03 06:00:00,16.12,
1993,1993-07-16 13:45:00,0.27,0.239,1993-07-16 14:00:00,13.05,0.475
1994,1994-09-06 13:15:00,0.33,0.351,1994-09-06 13:15:00,12.46,1.478
1995,1994-12-08 08:30:00,0.18,0.1,1995-01-31 06:45:00,8.3,0.305
1996,1996-07-03 13:30:00,0.37,,1995-10-12 22:45:00,8.98,0.29
1997,1996-10-24 21:00:00,0.29,0.276,1996-10-24 21:15:00,12.3,0.56
1998,1997-10-10 05:00:00,0.26,,1997-11-18 04:15:00,12.04,0.387
1999,1998-10-24 13:15:00,0.24,0.134,1998-10-24 13:15:00,10.77,0.274
2000,2000-08-14 01:45:00,0.28,0.182,2000-08-14 01:45:00,11.34,0.389
2001,2000-10-24 23:45:00,0.17,0.1,2000-10-24 23:45:00,7.39,0.208
2002,2002-05-13 21:30:00,0.5,,2002-05-13 21:30:00,12.63,
2003,2003-01-17 08:45:00,0.21,0.181,2003-01-17 08:45:00,7.06,0.458
2004,2004-08-08 23:30:00,0.44,0.518,2004-08-08 23:30:00,13.17,2.017
2005,2005-04-06 05:30:00,0.45,,2005-04-06 05:30:00,11.16,
2006,2006-07-09 05:30:00,0.25,,2005-10-24 11:00:00,7.93,0.325
2007,2007-06-13 02:45:00,0.36,,2007-06-13 03:00:00,10.48,
2008,2007-11-18 01:45:00,0.25,,2008-08-01 08:45:00,7.66,0.626
2009,2009-07-06 19:45:00,0.3,,2009-07-06 20:00:00,9.03,0.81
2010,2010-05-14 06:00:00,0.33,,2010-05-14 06:15:00,6.6,
2011,2010-10-01 15:15:00,0.35,0.276,2010-10-01 15:15:00,12.5,0.643
2012,2012-08-27 15:15:00,0.49,0.527,2012-08-27 15:15:00,15.37,1.825
2013,2013-07-28 07:15:00,0.46,,2013-07-28 07:15:00,10.12,
2014,2014-03-20 15:45:00,0.27,0.26,2014-03-20 15:45:00,9.04,0.735
2015,2015-06-01 21:00:00,0.44,0.454,2015-06-01 21:00:00,14.14,1.384
2016,2016-03-26 15:15:00,0.34,,2016-02-16 22:00:00,9.58,0.738
2017,2016-12-23 14:15:00,0.23,0.18,2016-12-23 14:15:00,7.7,0.405
2018,2017-10-11 09:00:00,0.26,,2017-11-07 09:30:00,8.31,0.468
2019,2019-08-09 11:30:00,0.26,0.222,2019-08-09 11:30:00,8.35,0.53
2020,2020-06-15 23:15:00,0.36,,2020-06-15 23:15:00,8.68,
2021,2021-03-10 02:45:00,0.36,,2021-03-10 02:45:00,10.16,
2022,2021-10-27 05:45:00,0.16,0.094,2021-10-27 06:00:00,6.2,0.153
