water_year,date_level,ror_level,ror_rel_level,date_flow,ror_flow,ror_rel_flow
1990,1990-07-01 02:30:00,0.08,0.096,1990-07-01 02:30:00,2.22,0.204
1991,1990-10-28 21:00:00,0.11,0.084,1990-10-28 21:00:00,3.82,0.148
1992,1991-11-18 17:45:00,0.07,0.06,1991-11-18 17:45:00,2.4,0.115
1993,1993-07-17 17:45:00,0.06,,1993-09-11 15:45:00,1.66,0.134
1994,1993-10-07 21:45:00,0.08,0.063,1993-10-07 22:45:00,2.67,0.088
1995,1995-09-07 23:00:00,0.15,0.103,1995-09-07 23:00:00,5.27,0.17
1996,1996-02-10 09:45:00,0.08,0.136,1995-11-27 20:45:00,2.17,0.106
1997,1997-07-01 08:00:00,0.08,0.068,1997-07-01 08:00:00,2.6,0.123
1998,1998-04-04 13:45:00,0.05,0.042,1998-04-04 20:30:00,1.6,0.048
1999,1999-02-07 10:00:00,0.08,,1999-09-20 22:30:00,1.8,0.097
2000,2000-08-02 11:45:00,0.07,,1999-11-28 21:30:00,1.72,0.19
2001,2001-08-19 22:45:00,0.15,0.12,2001-08-19 22:45:00,5.12,0.217
2002,2002-02-21 21:00:00,0.07,0.095,2002-02-22 00:00:00,2.08,0.085
2003,2002-10-13 08:15:00,0.06,0.052,2002-10-22 07:00:00,1.96,0.077
2004,2004-08-18 13:15:00,0.23,0.189,2004-08-18 13:15:00,7.97,0.352
2005,2005-04-10 15:45:00,0.12,0.158,2005-04-10 15:45:00,3.2,0.358
2006,2005-10-12 02:15:00,0.12,0.094,2005-10-12 02:15:00,3.78,0.154
2007,2006-10-19 20:15:00,0.06,0.059,2006-10-19 20:30:00,1.89,0.103
2008,2008-05-10 18:15:00,0.06,0.105,2008-08-19 13:00:00,1.9,0.108
2009,2009-07-06 19:00:00,0.41,0.376,2009-07-06 19:00:00,13.61,0.73
2010,2010-04-01 09:15:00,0.18,0.346,2010-04-01 09:15:00,4.19,1.301
2011,2011-07-10 20:00:00,0.07,,2011-08-08 08:45:00,1.77,0.067
2012,2012-06-22 03:30:00,0.06,0.097,2012-06-22 06:30:00,1.69,0.103
2013,2012-12-14 23:00:00,0.09,0.083,2012-12-14 23:00:00,2.79,0.149
2014,2013-11-02 19:30:00,0.11,0.216,2014-08-11 05:45:00,3.07,0.105
2015,2015-07-17 10:00:00,0.1,0.227,2014-10-07 15:00:00,2.44,0.1
2016,2015-12-30 12:45:00,0.11,0.089,2015-12-30 12:45:00,3.8,0.166
2017,2017-06-06 18:00:00,0.04,0.045,2017-06-06 19:45:00,1.24,0.073
2018,2017-11-21 19:30:00,0.04,0.034,2017-11-21 19:30:00,1.21,0.055
2019,2019-08-07 18:15:00,0.09,0.117,2019-08-07 18:15:00,2.4,0.257
2020,2019-11-12 13:00:00,0.05,0.044,2019-11-12 13:00:00,1.47,0.074
2021,2021-08-10 19:45:00,0.17,0.159,2021-08-10 19:45:00,5.66,0.318
2022,2021-10-31 19:15:00,0.07,0.069,2021-10-31 19:15:00,2.05,0.128
