water_year,date_level,ror_level,ror_rel_level,date_flow,ror_flow,ror_rel_flow
1988,1988-08-18 02:45:00,0.04,,1988-08-18 03:15:00,0.16,0.06
1989,1989-08-14 22:45:00,0.03,,1989-08-14 22:45:00,0.11,0.041
1990,1989-12-16 23:45:00,0.03,,1990-01-29 14:15:00,0.1,0.032
1991,1990-10-02 17:15:00,0.04,,1990-10-06 10:15:00,0.21,0.038
1992,1991-12-21 12:00:00,0.04,0.036,1991-12-21 12:00:00,0.17,0.051
1993,1993-01-05 00:30:00,0.03,,1992-11-09 12:00:00,0.12,0.034
1994,1994-04-03 16:15:00,0.03,,1994-04-03 16:45:00,0.12,
1995,1995-01-31 02:45:00,0.03,,1995-01-31 08:45:00,0.17,0.041
1996,1996-02-16 13:30:00,0.17,0.172,1996-02-16 13:30:00,0.76,0.317
1997,1996-11-10 00:00:00,0.07,,1996-11-28 09:30:00,0.25,0.098
1998,1998-01-13 14:00:00,0.08,,1998-01-13 14:00:00,0.24,
1999,1998-10-17 09:45:00,0.07,0.072,1998-10-17 09:45:00,0.32,
2000,2000-04-12 22:00:00,0.05,,1999-12-03 03:45:00,0.31,0.057
2001,2001-02-27 11:15:00,0.08,,2001-02-27 11:15:00,0.17,
2002,2002-03-10 11:00:00,0.04,,2002-03-01 09:00:00,0.2,
2003,2002-11-07 09:00:00,0.07,,2002-11-07 09:00:00,0.29,
2004,2003-12-31 21:30:00,0.04,,2003-11-28 16:45:00,0.19,0.07
2005,2005-04-15 21:45:00,0.05,,2005-01-08 01:15:00,0.22,0.04
2006,2006-02-25 19:45:00,0.04,,2005-11-07 20:45:00,0.19,0.064
2007,2006-12-31 14:45:00,0.07,,2006-11-30 22:30:00,0.27,0.072
2008,2008-07-28 14:30:00,0.09,,2008-07-28 14:30:00,0.18,
2009,2009-04-27 05:30:00,0.12,,2009-04-27 05:30:00,0.32,
2010,2009-11-19 09:00:00,0.04,0.03,2009-11-19 16:15:00,0.22,0.034
2011,2010-11-11 07:30:00,0.04,0.038,2010-10-03 07:00:00,0.17,0.035
2012,2012-04-03 16:45:00,0.07,,2012-08-27 15:15:00,0.19,0.061
2013,2012-11-19 05:45:00,0.05,0.04,2012-11-19 07:30:00,0.28,0.054
2014,2013-12-30 02:00:00,0.05,0.051,2014-01-26 10:30:00,0.31,0.073
2015,2015-06-01 11:30:00,0.05,,2015-01-14 23:30:00,0.24,0.053
2016,2015-12-30 02:00:00,0.05,0.047,2015-12-30 05:45:00,0.48,0.064
2017,2016-11-12 02:45:00,0.04,,2016-11-12 02:45:00,0.16,
2018,2018-01-14 23:00:00,0.04,,2018-09-19 11:15:00,0.24,0.092
2019,2018-11-03 13:45:00,0.04,0.04,2018-11-09 02:00:00,0.24,0.051
2020,2020-02-14 12:45:00,0.04,,2019-12-10 11:00:00,0.2,0.053
2021,2021-02-19 13:00:00,0.04,0.026,2021-02-19 16:15:00,0.25,0.03
2022,2021-11-27 03:15:00,0.03,,2021-10-28 04:00:00,0.18,0.019
