water_year,date_level,ror_level,ror_rel_level,date_flow,ror_flow,ror_rel_flow
2016,2008-09-01 15:30:00,0.12,,2008-09-01 15:30:00,1.27,
2017,2008-10-29 01:15:00,0.04,0.042,2008-10-29 07:00:00,0.61,0.059
2018,2009-11-02 01:45:00,0.06,0.058,2009-11-02 01:45:00,0.82,0.08
2019,2011-08-28 11:30:00,0.06,0.063,2011-08-28 11:30:00,0.94,0.101
2020,2012-01-21 05:30:00,0.16,0.174,2012-01-21 05:30:00,2.28,0.262
2021,2012-12-23 18:30:00,0.04,0.04,2012-12-23 18:30:00,0.49,0.049
2022,2014-08-11 02:45:00,0.12,,2014-08-11 06:00:00,4.84,0.295
2008,2014-10-28 05:30:00,0.07,0.093,2014-10-28 05:30:00,1.11,0.144
2009,2016-01-08 03:00:00,0.06,0.064,2016-01-08 03:00:00,1.18,0.109
2010,2017-06-06 21:30:00,0.07,0.078,2017-06-06 21:30:00,1.25,0.122
2011,2017-11-29 21:30:00,0.06,0.061,2018-01-01 03:45:00,1.24,0.096
2012,2019-07-11 16:00:00,0.16,0.193,2019-07-11 16:00:00,2.74,0.305
2013,2020-02-17 13:45:00,0.06,0.059,2020-02-17 13:45:00,1.15,0.094
2014,2021-08-04 23:15:00,0.19,,2021-08-04 23:15:00,1.5,
2015,2021-11-07 05:15:00,0.06,0.057,2021-11-07 05:15:00,1.12,0.087
