water_year,date_level,ror_level,ror_rel_level,date_flow,ror_flow,ror_rel_flow
1993,1992-10-02 06:00:00,0.01,,1993-01-16 12:15:00,0.59,0.029
1994,1993-12-01 09:00:00,0.05,,1994-02-01 11:30:00,0.1,0.014
1995,1994-10-02 16:45:00,0.01,,1995-01-31 05:00:00,0.19,
1996,1995-10-01 02:15:00,0.01,,1996-03-12 07:30:00,0.12,
1997,1996-10-01 11:00:00,0.01,,1996-11-03 12:15:00,0.16,0.017
1998,1997-12-10 14:15:00,0.02,,1997-12-10 06:30:00,0.38,
1999,1999-03-29 00:00:00,0.03,,1998-10-23 02:00:00,0.86,0.077
2000,1999-12-01 00:15:00,0.03,0.032,1999-12-01 00:15:00,1.0,0.114
2001,2000-12-01 19:45:00,0.02,0.024,2000-10-29 20:45:00,0.56,0.065
2002,2002-07-30 13:30:00,0.05,,2002-02-07 11:15:00,1.38,0.21
2003,2002-12-04 10:30:00,0.04,0.048,2002-12-04 10:30:00,1.09,0.188
2004,2003-11-29 08:30:00,0.03,0.036,2004-09-21 05:00:00,0.9,0.112
2005,2005-02-02 09:45:00,0.03,,2004-10-03 05:30:00,0.68,0.133
2006,2006-09-28 20:30:00,0.04,0.049,2006-03-27 15:45:00,0.97,0.114
2007,2006-12-13 20:15:00,0.05,0.043,2006-12-13 20:15:00,3.24,0.165
2008,2008-01-07 16:45:00,0.04,0.049,2008-01-10 05:45:00,1.09,0.157
2009,2009-01-26 16:30:00,0.04,,2008-10-25 16:15:00,1.17,0.125
2010,2009-11-05 14:45:00,0.03,0.037,2010-04-07 00:45:00,1.12,0.115
2011,2010-10-29 04:45:00,0.03,0.035,2010-10-29 04:45:00,0.83,0.131
2012,2011-11-30 13:15:00,0.03,0.031,2011-12-26 17:15:00,0.83,0.173
2013,2012-11-23 01:45:00,0.03,0.035,2012-12-28 18:30:00,0.84,0.113
2014,2013-11-30 13:30:00,0.05,,2014-02-27 19:45:00,0.74,0.101
2015,2014-12-21 17:00:00,0.03,,2015-03-06 03:00:00,0.61,
2016,2015-12-06 13:45:00,0.03,0.029,2015-12-09 09:45:00,0.82,0.104
2017,2016-10-01 20:15:00,0.02,,2016-12-27 14:15:00,0.48,0.092
2018,2018-07-28 11:15:00,0.05,,2018-09-20 01:00:00,0.61,
2019,2018-11-15 17:45:00,0.04,0.048,2018-11-14 15:00:00,0.89,0.132
2020,2020-02-27 15:30:00,0.03,,2020-02-22 03:30:00,0.64,0.072
2021,2020-10-21 18:00:00,0.02,,2020-10-24 20:30:00,0.4,0.062
