water_year,date_level,ror_level,ror_rel_level,date_flow,ror_flow,ror_rel_flow
1993,1993-09-10 06:30:00,0.24,,1993-01-17 08:45:00,14.02,0.107
1994,1994-08-23 19:00:00,0.26,,1993-10-01 07:00:00,16.82,0.997
1995,1994-10-23 11:00:00,0.19,0.183,1994-12-11 05:30:00,17.25,0.285
1996,1995-10-26 04:30:00,0.12,0.086,1995-10-26 05:30:00,15.68,0.213
1997,1996-10-03 14:30:00,0.27,0.36,1997-02-17 18:45:00,14.4,0.15
1998,1997-11-16 18:30:00,0.4,0.482,1992-12-15 09:00:00,,
1999,1999-09-08 20:00:00,0.36,0.34,1999-09-08 20:00:00,30.4,2.525
2000,2000-08-27 01:15:00,0.4,0.494,1999-12-23 21:30:00,20.02,0.811
2001,2001-08-02 11:45:00,0.39,0.6,2001-08-02 11:45:00,14.11,6.162
2002,2002-08-18 19:15:00,0.33,0.317,2002-07-30 20:30:00,36.43,0.558
2003,2003-07-18 21:45:00,0.28,,2003-05-01 03:15:00,9.21,0.493
2004,2004-09-13 03:45:00,0.39,0.494,2004-08-06 04:30:00,23.75,1.47
2005,2005-08-24 07:15:00,0.54,0.844,2005-01-01 15:00:00,19.5,0.543
2006,2006-09-01 10:45:00,0.3,0.38,2006-05-02 23:15:00,14.53,1.228
2007,2007-07-26 04:30:00,0.4,0.471,2007-07-26 04:30:00,20.92,2.245
2008,2008-05-10 21:00:00,0.42,0.545,2008-05-10 21:00:00,20.35,2.426
2009,2009-08-20 11:45:00,0.19,0.118,2009-08-20 11:45:00,23.78,0.382
2010,2009-10-24 18:15:00,0.37,,2009-10-24 18:15:00,14.45,1.979
2011,2011-05-23 11:30:00,0.27,0.329,1992-12-15 09:00:00,,
2012,2012-08-05 22:30:00,0.56,0.718,2012-08-05 22:30:00,31.1,3.707
2013,2012-11-22 12:30:00,0.38,0.452,2012-11-22 12:30:00,20.94,1.934
2014,2013-12-14 17:15:00,0.35,0.38,2013-12-14 17:15:00,20.15,1.405
2015,2015-07-17 08:30:00,0.76,1.187,2015-07-17 08:30:00,40.0,6.279
2016,2015-10-24 09:00:00,0.49,0.766,2015-12-30 12:15:00,77.2,0.422
2017,2017-09-24 14:45:00,0.22,0.239,2016-12-23 19:30:00,71.71,30.515
2018,2018-06-09 17:15:00,0.35,,2018-09-18 01:00:00,16.82,1.63
2019,2019-08-07 03:00:00,0.67,0.691,2019-07-24 08:45:00,56.58,1.041
2020,2020-07-27 17:45:00,0.56,0.757,2020-07-27 17:45:00,28.08,6.052
2021,2021-08-06 13:30:00,0.33,0.402,2020-11-13 07:00:00,18.84,1.244
2022,2021-10-31 16:30:00,0.2,0.144,2021-10-29 16:45:00,19.79,0.373
