water_year,date_level,ror_level,ror_rel_level,date_flow,ror_flow,ror_rel_flow
1988,1988-07-27 15:30:00,0.29,0.509,1988-08-14 01:00:00,1.91,0.849
1989,1989-06-13 06:45:00,0.27,0.375,1989-06-13 06:45:00,1.99,1.543
1990,1990-09-18 20:45:00,0.23,0.324,1990-08-29 07:30:00,1.65,0.545
1991,1991-09-21 14:15:00,0.35,0.593,1991-09-21 14:15:00,2.46,3.844
1992,1992-08-02 23:45:00,0.35,0.455,1992-08-02 23:45:00,3.26,1.918
1993,1992-11-29 19:00:00,0.2,0.303,1993-08-02 06:30:00,2.01,0.533
1994,1994-08-03 02:45:00,0.24,0.393,1994-09-06 07:15:00,1.81,0.823
1995,1994-12-06 23:45:00,0.2,0.23,1994-12-06 23:45:00,1.64,0.678
1996,1995-10-02 22:30:00,0.2,0.238,1996-02-10 05:30:00,1.88,0.272
1997,1996-11-04 06:15:00,0.28,0.359,1996-11-04 06:15:00,2.11,1.166
1998,1998-09-09 10:45:00,0.31,0.365,1998-09-09 10:45:00,2.25,0.97
1999,1998-11-28 00:45:00,0.26,0.295,1998-11-28 00:45:00,1.91,0.764
2000,2000-09-11 04:30:00,0.3,0.667,2000-09-06 04:45:00,1.71,2.375
2001,2001-09-30 20:45:00,0.22,0.234,2001-09-30 20:45:00,1.7,0.58
2002,2002-09-07 14:30:00,0.34,0.425,2002-09-07 14:30:00,2.46,1.23
2003,2002-11-05 22:00:00,0.26,0.406,2002-11-05 22:15:00,1.87,0.698
2004,2004-08-26 19:00:00,0.27,0.415,2004-08-26 19:00:00,1.85,1.927
2005,2005-08-24 02:15:00,0.24,0.286,2005-08-24 02:15:00,1.72,0.761
2006,2006-07-31 18:45:00,0.54,1.125,2006-07-31 18:45:00,3.35,15.952
2007,2007-07-19 13:45:00,0.36,0.837,2007-07-19 13:45:00,1.82,18.2
2008,2008-08-11 10:00:00,0.32,0.552,2008-08-11 10:00:00,2.08,3.467
2009,2008-10-04 08:45:00,0.23,0.383,2008-10-04 08:45:00,1.46,2.056
2010,2010-07-04 08:00:00,0.26,0.394,2010-07-04 08:00:00,1.73,1.632
2011,2011-04-06 06:15:00,0.21,0.253,2011-04-06 06:15:00,1.49,0.687
2012,2012-08-04 14:30:00,0.51,0.85,2012-08-04 14:30:00,3.5,5.147
2013,2013-09-15 09:15:00,0.27,0.397,2013-09-15 09:15:00,2.02,2.082
2014,2014-07-19 17:30:00,0.25,0.472,2014-07-16 09:00:00,1.83,1.262
2015,2015-07-17 01:45:00,0.27,0.31,2015-07-17 01:45:00,1.83,0.963
2016,2015-12-21 11:15:00,0.28,0.354,2015-12-21 11:15:00,1.8,1.25
2017,2017-08-23 03:30:00,0.3,0.5,2017-08-23 03:30:00,1.59,3.118
2018,2018-09-19 07:45:00,0.22,0.282,2018-09-19 07:45:00,1.37,0.972
2019,2019-07-21 17:30:00,0.24,0.312,2019-07-21 17:30:00,1.42,1.029
2020,2020-07-31 18:45:00,0.28,0.322,2020-07-31 18:45:00,1.88,0.969
2021,2021-09-26 20:30:00,0.21,0.216,2021-09-26 20:30:00,1.47,0.57
2022,2021-10-24 20:00:00,0.25,0.316,2021-10-24 20:00:00,1.58,1.068
