water_year,date_level,ror_level,ror_rel_level,date_flow,ror_flow,ror_rel_flow
1979,1979-07-15 22:45:00,0.16,,1979-09-10 23:00:00,9.96,0.454
1980,1979-11-03 02:45:00,0.1,,1979-11-03 02:45:00,9.7,0.372
1981,1981-04-28 05:15:00,0.14,,1980-11-16 19:30:00,10.09,0.538
1982,1982-03-06 07:15:00,0.11,,1981-11-20 04:45:00,12.5,0.301
1983,1982-10-19 23:30:00,0.11,,1983-01-26 21:15:00,11.89,0.404
1984,1983-12-31 09:30:00,0.15,0.12,1983-12-31 09:30:00,27.03,0.33
1985,1985-04-19 03:45:00,0.15,,1985-04-19 03:45:00,8.98,
1986,1985-12-16 06:00:00,0.11,,1985-12-16 06:00:00,14.73,0.296
1987,1987-02-04 23:00:00,0.12,,1986-11-09 13:30:00,12.66,0.208
1988,1988-09-25 17:00:00,0.15,,1988-09-25 17:00:00,11.64,0.748
1989,1989-03-18 08:15:00,0.11,,1989-02-05 20:00:00,14.41,0.077
1990,1990-08-01 14:00:00,0.11,,1990-09-18 19:15:00,20.91,0.096
1991,1991-07-27 10:45:00,0.14,,1990-12-11 09:00:00,19.21,0.331
1992,1992-01-06 07:15:00,0.16,,1992-01-06 07:30:00,14.35,0.626
1993,1993-03-15 13:45:00,0.09,,1993-01-16 17:30:00,16.42,0.098
1994,1994-08-03 22:45:00,0.12,,1994-01-26 15:45:00,9.71,
1995,1995-09-23 13:15:00,0.12,,1995-09-23 14:00:00,11.94,0.334
1996,1995-10-18 15:30:00,0.17,,1995-10-18 15:30:00,11.05,
1997,1997-02-03 16:00:00,0.11,,1996-11-01 17:00:00,11.01,0.235
1998,1997-11-16 15:00:00,0.09,,1998-02-11 03:30:00,7.67,0.214
1999,1998-11-09 10:00:00,0.16,,1998-11-09 10:00:00,16.35,0.522
2000,1999-11-30 00:15:00,0.12,,2000-06-12 18:30:00,9.54,0.177
2001,2001-06-19 14:15:00,0.16,,2001-02-11 15:15:00,10.83,0.269
2002,2001-10-01 01:00:00,0.17,,2002-01-28 09:15:00,11.29,0.248
2003,2003-09-25 19:00:00,0.12,,2003-09-25 19:00:00,9.99,0.341
2004,2004-09-03 16:00:00,0.28,,2004-02-02 16:00:00,12.3,0.175
2005,2005-09-13 10:00:00,0.19,,2005-03-16 02:45:00,14.31,0.087
2006,2006-01-09 19:45:00,0.21,,2005-12-15 17:45:00,12.96,0.512
2007,2007-09-13 16:45:00,0.2,,2007-01-15 01:00:00,21.4,0.249
2008,2007-10-26 10:15:00,0.33,,2008-03-20 06:45:00,10.49,
2009,2009-09-21 18:15:00,0.28,,2008-10-20 02:00:00,17.24,0.568
2010,2010-01-01 09:00:00,0.84,,2009-10-06 01:45:00,11.92,
2011,2011-09-06 08:15:00,0.24,0.203,2011-04-06 15:00:00,10.97,0.056
2012,2012-01-18 01:30:00,0.23,0.228,2012-01-11 23:45:00,11.08,0.087
2013,2013-09-15 07:30:00,0.27,0.235,2013-09-15 07:30:00,11.71,
2014,2013-12-12 02:15:00,0.16,0.119,2013-12-12 02:15:00,9.68,
2015,2014-10-19 09:00:00,0.18,0.155,2015-02-26 00:15:00,9.71,0.24
2016,2015-11-08 14:45:00,0.18,0.119,2015-11-08 14:45:00,13.53,0.525
2017,2017-09-04 11:45:00,0.16,0.132,2017-08-08 03:30:00,11.33,0.374
2018,2018-09-14 03:00:00,0.18,0.122,2018-01-23 07:30:00,14.76,0.184
2019,2019-07-24 07:45:00,0.2,0.152,2019-07-24 08:00:00,12.62,0.461
2020,2020-06-16 01:15:00,0.23,,2020-09-13 13:00:00,12.45,0.065
2021,2020-12-25 18:30:00,0.15,0.123,2020-11-17 22:00:00,7.72,0.1
2022,2021-10-07 00:45:00,0.09,0.071,2021-10-26 20:00:00,7.9,0.066
