water_year,date_level,ror_level,ror_rel_level,date_flow,ror_flow,ror_rel_flow
1991,1991-09-28 02:00:00,0.32,,1991-09-28 02:00:00,20.01,
1992,1992-08-03 11:15:00,0.32,,1992-02-27 14:15:00,27.37,0.72
1993,1992-12-16 04:30:00,0.2,0.215,1992-12-16 04:30:00,17.83,0.82
1994,1994-08-23 17:30:00,0.28,0.359,1994-08-23 17:45:00,22.24,0.699
1995,1994-10-20 08:45:00,0.39,0.476,1994-10-20 08:45:00,30.85,2.139
1996,1995-10-03 03:00:00,0.58,0.784,1995-10-03 03:00:00,49.65,5.304
1997,1997-02-10 09:30:00,0.33,0.398,1997-02-10 09:30:00,26.17,1.792
1998,1998-07-17 10:30:00,0.28,,1998-09-01 15:00:00,16.26,0.316
1999,1999-09-06 22:30:00,0.25,,1999-07-05 23:30:00,16.93,0.785
2000,1999-11-28 02:15:00,0.42,0.494,1999-11-28 02:15:00,36.66,2.266
2001,2000-10-28 21:15:00,0.2,0.172,2000-10-28 21:15:00,22.34,0.542
2002,2001-10-01 03:15:00,0.3,0.259,2001-10-01 03:15:00,34.45,0.833
2003,2003-01-17 06:30:00,0.22,0.21,2003-01-17 06:30:00,21.92,0.709
2004,2004-05-09 20:45:00,0.43,0.443,2004-05-09 20:45:00,43.25,1.781
2005,2005-06-19 09:30:00,0.57,0.814,2004-12-23 08:30:00,48.09,3.968
2006,2006-06-30 19:45:00,0.39,0.438,2006-06-30 19:45:00,35.26,1.935
2007,2006-11-10 22:15:00,0.25,,2007-03-04 20:45:00,23.52,0.53
2008,2007-10-28 06:45:00,0.49,0.817,2007-11-28 20:00:00,45.01,1.842
2009,2009-06-17 14:30:00,0.51,0.75,2009-06-17 14:30:00,34.62,5.513
2010,2010-09-07 18:30:00,0.22,0.19,2010-09-07 18:30:00,22.58,0.591
2011,2011-05-22 01:30:00,0.31,0.369,2011-03-31 12:45:00,24.94,0.707
2012,2012-08-14 20:00:00,0.28,0.368,2012-08-27 17:30:00,24.15,0.593
2013,2013-08-01 19:30:00,0.18,,2012-11-22 14:00:00,19.82,0.362
2014,2013-12-14 19:30:00,0.44,0.494,2013-12-14 19:30:00,41.1,2.383
2015,2014-10-06 12:15:00,0.55,0.539,2014-10-06 12:15:00,62.28,2.261
2016,2016-09-08 17:00:00,0.4,0.563,2016-09-09 23:30:00,38.23,1.048
2017,2017-05-23 04:00:00,0.33,,2017-09-04 18:45:00,24.29,1.236
2018,2018-06-16 22:30:00,0.46,0.754,2018-09-19 15:15:00,33.75,1.056
2019,2019-05-26 10:45:00,0.39,0.476,2019-05-26 10:45:00,31.28,2.51
2020,2020-07-27 18:30:00,0.52,0.788,2020-07-27 18:30:00,34.91,6.114
2021,2021-08-11 21:30:00,0.32,0.348,2021-08-11 21:30:00,27.33,1.44
2022,2021-10-25 01:30:00,0.18,0.186,2021-10-31 15:15:00,21.03,0.207
