water_year,date_level,ror_level,ror_rel_level,date_flow,ror_flow,ror_rel_flow
2016,2009-07-06 21:30:00,0.83,1.729,2009-07-06 21:45:00,22.94,1.117
2017,2010-07-21 11:00:00,0.24,0.189,2009-11-02 00:45:00,13.51,0.083
2018,2011-07-10 23:45:00,0.48,0.706,2011-07-10 23:45:00,11.63,2.915
2019,2012-06-22 06:45:00,0.46,0.517,2012-06-22 06:45:00,13.4,1.601
2020,2012-10-12 15:30:00,0.72,1.059,2012-10-12 15:30:00,19.58,4.859
2021,2013-10-09 23:30:00,0.42,0.75,2013-10-09 23:30:00,8.62,4.164
2022,2015-07-17 14:15:00,0.54,0.915,2015-07-17 14:15:00,13.17,4.065
2009,2015-12-30 12:15:00,0.35,0.276,2015-12-30 12:15:00,13.78,0.658
2010,2016-10-14 05:45:00,0.23,,2017-09-11 16:30:00,5.4,0.45
2011,2018-03-21 19:45:00,0.15,0.183,2018-03-21 19:45:00,3.7,0.53
2012,2019-08-07 16:30:00,0.37,0.411,2019-08-07 16:30:00,10.88,1.231
2013,2020-07-05 06:30:00,0.4,0.519,2020-07-05 06:30:00,10.55,1.779
2014,2021-05-19 00:45:00,0.5,0.758,2021-08-07 07:30:00,13.42,2.306
2015,2021-10-29 19:00:00,0.25,0.195,2021-10-29 19:00:00,9.54,0.471
