water_year,date_level,ror_level,ror_rel_level,date_flow,ror_flow,ror_rel_flow
1985,1985-08-15 00:15:00,0.19,,1985-01-30 15:45:00,10.04,0.358
1986,1985-12-01 10:00:00,0.26,,1985-12-16 06:30:00,19.98,0.322
1987,1987-09-13 22:15:00,0.23,0.329,1987-09-13 22:30:00,13.56,0.553
1988,1987-12-23 02:45:00,0.33,,1987-12-23 02:45:00,13.34,2.751
1989,1989-08-22 02:00:00,0.17,0.193,1988-10-07 11:30:00,11.6,0.122
1990,1990-09-19 08:45:00,0.42,0.553,1990-01-14 21:15:00,26.97,0.624
1991,1991-06-25 17:30:00,0.29,0.403,1991-06-25 17:30:00,17.87,1.276
1992,1992-01-06 08:15:00,0.32,0.432,1992-01-06 09:00:00,26.47,0.35
1993,1993-01-02 03:00:00,0.11,0.145,1992-11-27 14:30:00,10.65,0.099
1994,1994-08-28 05:15:00,0.15,0.214,1993-12-06 09:00:00,9.54,0.292
1995,1995-09-23 17:45:00,0.19,0.229,1995-09-23 18:00:00,13.01,0.466
1996,1995-10-18 20:45:00,0.12,0.135,1995-10-18 21:00:00,7.8,0.285
1997,1996-10-19 03:15:00,0.32,0.615,1996-10-19 03:30:00,18.82,1.042
1998,1998-05-14 15:15:00,0.24,,1998-05-14 16:00:00,17.27,0.373
1999,1999-01-15 08:15:00,0.18,0.222,1999-01-15 08:30:00,12.12,0.447
2000,2000-02-27 02:15:00,0.15,0.135,2000-02-27 02:30:00,12.29,0.264
2001,2000-10-29 06:45:00,0.24,0.296,2000-10-29 07:30:00,14.29,0.268
2002,2001-10-01 11:30:00,0.25,0.338,2002-01-28 09:30:00,14.2,0.135
2003,2003-04-01 01:00:00,0.59,1.341,2003-04-01 01:00:00,28.28,17.457
2004,2003-11-24 20:00:00,0.27,0.45,2003-11-24 20:00:00,14.61,2.485
2005,2004-11-21 14:15:00,0.3,0.429,2005-09-13 13:15:00,18.03,0.645
2006,2006-09-24 21:30:00,0.3,0.405,2006-09-24 21:30:00,17.56,1.535
2007,2007-07-05 20:00:00,0.34,0.68,2007-05-30 20:30:00,22.59,0.307
2008,2007-11-05 06:15:00,0.29,0.382,2007-11-05 06:15:00,19.11,1.541
2009,2009-01-10 15:15:00,0.3,0.536,2008-10-20 02:45:00,25.75,0.6
2010,2009-12-09 10:30:00,0.2,,2010-09-15 02:15:00,8.9,0.136
2011,2011-07-10 15:15:00,0.52,1.368,2011-07-10 15:15:00,18.17,21.631
2012,2012-02-04 15:15:00,0.44,0.917,2012-02-04 15:15:00,18.79,7.829
2013,2013-06-22 18:00:00,0.23,,2013-04-17 18:15:00,13.26,0.276
2014,2014-08-03 19:00:00,0.36,0.706,2014-08-03 19:15:00,15.28,0.855
2015,2015-08-10 16:30:00,0.58,0.527,2015-08-10 16:30:00,50.8,1.509
2016,2015-12-30 04:45:00,0.37,0.319,2015-12-30 04:45:00,31.44,0.83
2017,2016-10-18 01:45:00,0.26,,2016-11-16 03:30:00,18.84,0.602
2018,2018-09-16 02:30:00,0.2,0.233,2017-11-16 05:00:00,13.8,0.452
2019,2019-08-09 16:45:00,0.39,,2018-10-23 04:15:00,26.37,0.354
2020,2020-06-28 11:30:00,0.25,,2020-01-07 14:00:00,14.86,0.287
2021,2021-01-16 23:30:00,0.29,0.299,2021-01-16 23:30:00,21.39,0.903
2022,2021-12-29 15:30:00,0.17,,2021-10-26 21:00:00,7.6,0.155
