water_year,date_level,ror_level,ror_rel_level,date_flow,ror_flow,ror_rel_flow
1981,1980-12-01 14:30:00,0.03,0.041,1981-09-26 22:45:00,0.82,0.087
1982,1982-08-05 21:45:00,0.04,,1981-10-12 19:45:00,0.73,0.122
1983,1982-10-13 09:45:00,0.03,0.031,1982-10-13 16:30:00,0.67,0.019
1984,1984-01-22 20:45:00,0.07,,1984-01-22 20:45:00,1.76,0.367
1985,1985-07-27 20:30:00,0.06,0.13,1985-07-27 20:30:00,1.56,0.192
1986,1985-11-08 21:15:00,0.05,0.106,1986-01-19 12:00:00,1.52,0.262
1987,1987-03-27 21:45:00,0.02,0.04,1987-03-29 10:30:00,1.52,0.262
1988,1988-04-19 15:00:00,0.04,0.087,1987-11-25 17:15:00,1.5,0.257
1989,1988-10-19 13:15:00,0.03,,1988-11-18 08:45:00,1.49,0.256
1990,1990-07-01 00:45:00,0.06,,1990-07-01 00:45:00,1.1,
1991,1991-06-30 16:00:00,0.08,,1991-06-30 16:15:00,1.86,
1992,1991-11-04 05:30:00,0.04,,1991-11-04 05:45:00,1.06,0.148
1993,1993-09-11 14:30:00,0.07,0.149,1993-09-11 14:45:00,1.8,0.17
1994,1993-10-07 18:45:00,0.04,0.048,1993-10-07 18:30:00,1.21,0.067
1995,1995-09-10 03:15:00,0.06,0.052,1995-09-10 05:00:00,2.36,0.055
1996,1996-05-16 09:00:00,0.2,,1996-02-10 03:15:00,0.96,0.086
1997,1997-07-01 07:00:00,0.06,0.085,1997-07-01 07:00:00,1.46,0.139
1998,1998-04-04 20:00:00,0.04,0.034,1998-04-04 09:00:00,3.2,0.242
1999,1999-09-25 22:45:00,0.05,,1998-10-16 16:30:00,1.08,0.1
2000,2000-04-23 15:15:00,0.09,0.2,2000-04-26 21:45:00,2.44,0.036
2001,2000-10-09 22:30:00,0.05,,2000-11-08 08:00:00,1.06,0.034
2002,2002-07-30 22:15:00,0.18,0.562,2002-07-30 22:15:00,3.33,0.688
2003,2002-11-15 12:45:00,0.07,0.04,2002-11-15 12:45:00,2.86,0.061
2004,2003-11-27 09:00:00,0.15,,2004-08-18 14:45:00,1.53,0.145
2005,2005-06-04 09:15:00,0.04,0.069,2005-06-04 09:30:00,0.64,0.092
2006,2006-07-27 16:15:00,0.04,,2005-11-26 12:15:00,0.74,0.039
2007,2007-08-06 03:45:00,0.06,0.08,2007-08-06 04:00:00,1.35,0.126
2008,2008-08-21 16:30:00,0.07,0.089,2007-11-22 12:00:00,2.68,0.097
2009,2009-07-16 15:00:00,0.07,,2009-09-04 05:30:00,1.22,0.03
2010,2010-09-23 04:30:00,0.14,0.35,2010-09-23 04:45:00,2.03,0.338
2011,2010-11-08 22:45:00,0.04,0.057,2011-08-08 08:45:00,0.82,0.041
2012,2012-08-24 13:15:00,0.09,,2012-08-24 13:15:00,1.12,
2013,2012-12-14 21:00:00,0.05,0.051,2012-12-14 21:30:00,1.21,0.073
2014,2013-11-03 05:45:00,0.05,0.067,2013-11-03 07:30:00,0.95,0.061
2015,2014-10-07 17:30:00,0.07,0.06,2014-10-07 17:30:00,1.88,0.1
2016,2016-07-20 20:00:00,0.17,0.279,2016-07-20 20:00:00,3.24,0.45
2017,2017-06-06 23:45:00,0.03,0.031,2017-06-06 23:30:00,0.51,0.037
2018,2018-06-02 15:00:00,0.12,,2018-06-02 15:00:00,1.3,
2019,2019-03-12 17:00:00,0.06,,2019-05-26 15:45:00,1.21,0.07
2020,2020-06-17 01:00:00,0.06,,2019-11-12 11:00:00,1.22,0.061
2021,2020-10-03 20:15:00,0.06,0.083,2020-10-03 21:30:00,1.4,0.09
2022,2021-12-07 19:45:00,0.05,0.06,2021-12-07 20:00:00,1.0,0.081
