water_year,date_level,ror_level,ror_rel_level,date_flow,ror_flow,ror_rel_flow
1990,1990-01-10 13:00:00,0.18,,1990-02-24 17:00:00,17.3,0.12
1991,1990-10-03 02:30:00,0.3,,1991-02-24 03:00:00,42.87,0.243
1992,1992-09-13 06:15:00,0.26,,1991-11-10 22:30:00,24.08,0.45
1993,1993-01-09 08:00:00,0.21,0.206,1993-01-09 08:15:00,19.52,0.337
1994,1993-12-07 01:00:00,0.23,0.202,1993-12-29 11:30:00,22.68,0.251
1995,1995-01-31 08:00:00,0.18,0.14,1995-01-31 08:30:00,17.95,0.186
1996,1995-10-03 11:00:00,0.23,,1996-02-12 07:45:00,16.17,0.098
1997,1997-09-16 17:30:00,0.22,,1997-02-18 01:30:00,22.37,0.056
1998,1997-11-18 13:00:00,0.18,,1998-01-01 21:45:00,13.03,0.197
1999,1999-03-29 03:30:00,0.29,,1999-01-25 02:00:00,27.89,0.238
2000,2000-07-09 22:30:00,0.34,,2000-07-09 22:30:00,23.99,
2001,2000-10-25 04:45:00,0.22,0.186,2000-10-09 20:45:00,21.18,0.205
2002,2002-08-30 20:15:00,0.23,,2002-03-10 15:15:00,23.47,0.251
2003,2002-12-22 08:30:00,0.18,0.17,2002-10-22 10:00:00,29.4,0.076
2004,2004-08-09 21:30:00,0.47,,2004-08-09 21:45:00,32.19,0.93
2005,2005-06-28 04:00:00,1.0,2.703,2005-06-28 04:00:00,57.87,16.394
2006,2006-02-15 05:30:00,0.21,0.191,2005-10-12 08:15:00,21.45,0.059
2007,2007-06-16 22:15:00,0.4,0.381,2007-06-16 22:15:00,32.31,0.893
2008,2008-06-22 05:00:00,0.31,,2008-01-10 14:15:00,22.12,0.166
2009,2009-03-08 03:00:00,0.37,0.398,2009-03-08 03:00:00,26.73,0.95
2010,2010-08-20 19:00:00,0.17,,2009-11-01 16:00:00,21.18,0.152
2011,2011-05-22 05:15:00,0.38,,2011-09-06 10:30:00,26.41,0.76
2012,2011-10-17 21:00:00,0.26,0.224,2011-12-08 12:30:00,22.09,0.182
2013,2013-04-14 12:15:00,0.43,0.544,2013-04-14 12:15:00,28.71,
2014,2013-12-21 00:00:00,0.17,0.128,2013-12-21 00:30:00,17.36,0.192
2015,2015-06-02 01:30:00,0.39,,2015-01-15 02:30:00,22.1,0.196
2016,2015-11-08 20:30:00,0.29,0.24,2016-01-27 14:45:00,24.68,0.052
2017,2016-12-23 17:00:00,0.38,0.342,2016-12-23 17:00:00,32.26,0.809
2018,2018-09-11 08:00:00,0.19,,2018-01-24 11:45:00,17.63,0.047
2019,2018-10-12 22:00:00,0.33,,2019-02-08 13:30:00,20.02,0.311
2020,2020-02-09 00:30:00,0.27,0.223,2020-02-15 23:15:00,32.62,0.077
2021,2021-03-28 07:00:00,0.23,,2021-02-23 20:30:00,21.86,0.176
2022,2021-10-27 10:00:00,0.12,,2021-10-28 04:15:00,11.52,0.081
