water_year,date_level,ror_level,ror_rel_level,date_flow,ror_flow,ror_rel_flow
1997,1997-08-27 18:45:00,0.19,0.76,1997-08-27 19:00:00,1.44,0.894
1998,1998-06-27 18:00:00,0.22,0.88,1998-04-28 15:45:00,1.83,0.871
1999,1999-08-01 20:30:00,0.27,1.125,1999-07-03 12:15:00,2.0,2.0
2000,2000-07-28 19:15:00,0.33,1.833,2000-08-02 16:45:00,2.56,1.164
2001,2001-06-07 17:30:00,0.29,1.036,2001-08-19 16:30:00,2.5,0.548
2002,2002-07-30 13:45:00,0.67,2.233,2002-07-30 13:45:00,8.15,12.164
2003,2003-04-30 16:00:00,0.19,0.559,2003-04-30 16:00:00,1.56,1.714
2004,2004-08-09 16:45:00,0.12,0.162,2004-08-09 16:45:00,1.77,0.38
2005,2005-08-09 19:15:00,0.21,1.235,2005-09-26 17:45:00,1.05,1.4
2006,2006-07-26 06:15:00,0.32,2.286,2006-07-26 06:15:00,1.5,12.5
2007,2007-07-01 09:30:00,0.24,0.923,2007-07-01 10:00:00,2.53,0.676
2008,2008-08-10 00:15:00,0.25,0.312,2008-08-10 00:15:00,4.33,0.803
2009,2009-06-14 18:00:00,0.3,0.789,2009-06-14 18:00:00,2.84,2.219
2010,2010-06-05 17:45:00,0.39,3.25,2009-11-19 07:30:00,2.59,0.516
2011,2011-07-09 15:15:00,0.18,0.75,2011-08-10 21:00:00,1.42,0.385
2012,2012-05-23 18:45:00,0.32,1.103,2012-05-23 18:45:00,2.71,3.712
2013,2013-07-23 19:30:00,0.51,3.4,2013-07-23 19:30:00,3.83,23.938
2014,2014-05-25 13:15:00,0.3,0.667,2014-05-25 13:15:00,3.01,1.552
2015,2015-09-24 16:00:00,0.14,,2015-09-24 16:00:00,0.85,2.5
2016,2016-07-20 08:30:00,0.28,2.333,2015-11-08 16:45:00,1.58,0.699
2017,2017-07-29 18:45:00,0.25,0.658,2017-07-29 18:45:00,2.22,1.586
2018,2018-09-19 09:30:00,0.16,0.421,2018-09-19 09:30:00,1.39,1.007
2019,2019-08-04 17:15:00,0.27,1.688,2019-09-24 19:45:00,1.78,1.066
2020,2020-08-27 17:15:00,0.28,0.431,2020-08-27 17:30:00,3.37,0.467
2021,2021-07-04 16:45:00,0.37,1.609,2021-07-04 16:45:00,2.92,6.636
2022,2021-11-30 21:15:00,0.14,0.5,2021-12-29 11:00:00,1.13,0.642
