water_year,date_level,ror_level,ror_rel_level,date_flow,ror_flow,ror_rel_flow
1991,1991-06-23 16:15:00,0.81,1.266,1991-06-23 16:15:00,15.45,9.904
1992,1992-08-23 01:45:00,0.46,0.575,1991-10-31 15:00:00,13.84,0.722
1993,1992-12-18 05:30:00,0.39,0.481,1993-09-10 13:30:00,10.1,0.743
1994,1994-09-11 20:15:00,0.34,,1993-10-06 20:30:00,4.66,0.707
1995,1995-09-07 20:15:00,0.4,0.244,1995-09-07 20:15:00,14.33,0.633
1996,1996-08-25 16:15:00,0.24,,1995-12-03 10:00:00,6.01,0.313
1997,1996-11-04 10:15:00,0.28,0.4,1997-02-19 16:15:00,5.76,0.267
1998,1998-07-27 17:15:00,0.4,0.364,1998-07-27 17:45:00,10.28,0.417
1999,1999-07-06 12:45:00,0.36,0.545,1998-10-20 19:30:00,8.35,0.622
2000,2000-07-30 15:00:00,0.57,0.438,2000-07-30 15:00:00,17.62,1.35
2001,2000-12-12 20:15:00,0.25,0.301,2000-10-28 19:00:00,6.21,0.3
2002,2001-10-08 00:00:00,0.25,0.342,2001-12-03 22:30:00,5.61,0.302
2003,2003-04-22 01:30:00,0.37,0.536,2002-12-01 12:15:00,6.63,0.452
2004,2004-08-18 07:15:00,0.55,1.222,2004-08-18 07:15:00,5.92,9.397
2005,2004-10-03 20:30:00,0.32,0.344,2004-10-03 20:30:00,6.52,1.226
2006,2005-10-29 20:45:00,0.34,0.378,2005-10-29 20:45:00,6.74,1.398
2007,2006-10-19 15:30:00,0.63,0.636,2006-10-19 15:30:00,15.55,2.433
2008,2007-10-28 04:15:00,0.25,,2008-09-09 19:00:00,4.36,0.206
2009,2009-06-14 13:00:00,0.51,0.622,2009-06-14 13:00:00,9.59,3.646
2010,2009-11-21 16:30:00,0.42,0.356,2009-10-24 14:45:00,11.08,0.886
2011,2011-07-10 11:30:00,0.47,0.723,2011-07-06 15:30:00,10.32,0.294
2012,2012-08-27 15:15:00,0.54,0.75,2012-08-27 15:15:00,9.26,6.431
2013,2012-10-12 08:45:00,0.32,0.166,2012-10-12 08:45:00,12.26,0.406
2014,2013-10-25 14:30:00,0.32,0.184,2013-10-25 14:30:00,11.2,0.468
2015,2015-07-07 16:00:00,0.59,0.894,2015-07-07 16:45:00,17.14,0.482
2016,2016-08-19 23:30:00,0.49,0.7,2016-08-19 23:30:00,7.8,6.446
2017,2017-09-28 03:00:00,0.36,0.391,2017-09-28 03:00:00,7.18,1.791
2018,2017-10-21 05:00:00,0.2,0.206,2017-10-21 05:00:00,3.85,0.797
2019,2018-11-10 01:30:00,0.47,0.516,2018-11-10 01:30:00,9.72,2.531
2020,2020-08-12 07:00:00,0.32,0.525,2019-12-19 00:45:00,4.06,0.995
2021,2020-12-19 02:00:00,0.14,0.128,2020-10-03 20:00:00,4.6,0.122
