water_year,date_level,ror_level,ror_rel_level,date_flow,ror_flow,ror_rel_flow
1964,1964-09-17 00:45:00,0.16,,1964-09-17 00:45:00,3.9,
1965,1965-07-22 05:00:00,0.19,,1964-10-07 12:00:00,6.98,0.691
1966,1966-06-21 17:15:00,0.1,,1966-08-13 20:30:00,3.18,0.16
1967,1967-05-11 21:30:00,0.08,0.121,1967-05-11 21:30:00,3.11,0.212
1968,1968-08-01 09:00:00,0.1,,1968-09-13 00:30:00,3.31,0.146
1969,1969-08-10 12:30:00,0.15,,1968-10-31 20:30:00,4.97,0.212
1970,1969-11-22 04:45:00,0.1,0.175,1969-11-22 04:45:00,3.47,0.404
1971,1970-10-31 16:30:00,0.06,0.082,1970-10-31 16:45:00,2.86,0.169
1972,1971-11-25 05:45:00,0.09,0.12,1971-11-25 05:45:00,3.65,0.235
1973,1972-12-12 02:15:00,0.48,1.263,1972-12-12 02:15:00,17.07,5.096
1974,1974-01-05 17:15:00,0.13,0.21,1974-01-05 17:15:00,4.84,0.464
1975,1975-05-09 16:45:00,0.11,,1975-09-12 15:15:00,4.42,0.355
1976,1975-11-16 18:15:00,0.15,,1975-11-16 18:15:00,2.82,
1977,1977-09-28 06:45:00,0.07,,1977-09-28 07:00:00,1.78,
1978,1977-10-31 05:45:00,0.09,0.17,1977-10-31 05:45:00,3.01,0.408
1979,1979-06-13 17:30:00,0.1,,1978-12-08 05:00:00,3.07,0.104
1980,1980-07-07 20:30:00,0.11,,1979-12-26 18:00:00,3.03,0.267
1981,1981-09-26 17:15:00,0.1,0.145,1981-09-26 17:15:00,4.09,0.316
1982,1981-10-01 18:00:00,0.05,0.072,1981-11-23 11:45:00,2.2,0.123
1983,1982-11-23 17:00:00,0.09,0.1,1982-11-23 17:00:00,4.27,0.192
1984,1984-01-13 07:30:00,0.11,0.093,1984-01-13 07:30:00,6.85,0.185
1985,1984-11-03 21:45:00,0.27,0.124,1984-11-03 21:45:00,23.97,0.219
1986,1986-03-04 12:45:00,0.17,,1986-03-04 19:45:00,9.66,0.288
1987,1987-07-18 16:45:00,0.1,,1987-01-04 12:15:00,2.51,0.074
1988,1988-07-22 04:15:00,0.11,0.234,1988-07-22 05:00:00,4.05,0.274
1989,1988-11-30 05:15:00,0.07,0.089,1988-11-30 05:15:00,3.19,0.188
1990,1990-09-24 16:45:00,0.11,,1990-09-24 18:30:00,2.79,0.403
1991,1991-06-15 14:45:00,0.12,,1990-10-06 21:45:00,6.06,0.065
1992,1992-01-08 10:30:00,0.08,0.11,1992-01-08 12:45:00,3.5,0.104
1993,1993-06-12 10:30:00,0.09,,1993-01-23 20:45:00,2.75,0.097
1994,1993-10-06 03:45:00,0.09,0.129,1993-10-06 04:00:00,4.05,0.237
1995,1994-10-23 07:00:00,0.05,0.085,1994-12-12 07:45:00,3.8,0.053
1996,1996-02-12 05:30:00,0.05,0.057,1996-02-12 05:30:00,2.42,0.117
1997,1997-05-05 06:15:00,0.07,0.137,1997-05-05 06:15:00,2.36,0.36
1998,1998-05-31 14:45:00,0.05,0.059,1998-01-09 06:30:00,2.1,0.105
1999,1999-09-28 04:15:00,0.22,,1999-09-28 04:15:00,4.77,
2000,2000-07-29 23:15:00,0.19,,2000-09-11 10:15:00,4.2,0.211
2001,2001-02-28 13:15:00,0.08,,2000-10-09 21:00:00,2.42,0.065
2002,2002-01-03 16:45:00,0.41,1.414,2002-01-03 16:45:00,11.49,7.137
2003,2002-10-22 06:30:00,0.07,0.037,2002-10-22 06:30:00,5.01,0.058
2004,2004-07-03 22:30:00,0.11,,2004-03-20 13:45:00,2.74,0.151
2005,2004-10-29 07:00:00,0.05,0.068,2005-01-08 02:15:00,2.77,0.071
2006,2005-10-12 00:30:00,0.06,0.064,2005-10-12 00:30:00,2.6,0.107
2007,2007-06-20 11:00:00,0.06,0.113,2007-02-27 18:45:00,1.94,0.068
2008,2008-04-28 00:15:00,0.11,,2008-08-07 00:15:00,4.6,0.19
2009,2009-06-15 19:45:00,0.15,,2009-06-15 19:45:00,2.48,
2010,2010-09-23 20:00:00,0.07,,2010-04-05 19:45:00,2.93,0.046
2011,2010-12-08 19:45:00,0.11,,2010-12-08 19:45:00,2.34,
2012,2012-08-29 15:00:00,0.3,0.448,2012-08-29 15:00:00,13.49,1.107
2013,2013-05-19 00:00:00,0.06,,2012-11-22 17:45:00,2.27,0.123
2014,2013-10-17 07:00:00,0.07,,2013-12-30 14:30:00,2.41,0.092
2015,2015-06-02 01:45:00,0.07,0.117,2015-06-02 01:45:00,2.59,0.273
2016,2016-07-20 13:30:00,0.22,,2016-07-20 13:30:00,4.13,
2017,2017-06-06 18:15:00,0.11,,2016-11-22 11:45:00,3.01,0.068
2018,2018-06-01 22:00:00,0.27,,2018-06-01 22:00:00,5.53,
2019,2019-07-27 18:45:00,0.07,,2019-03-16 20:30:00,2.2,0.07
2020,2020-08-11 20:30:00,0.16,,2020-08-12 03:30:00,3.44,0.262
2021,2021-09-30 20:15:00,0.06,,2020-10-03 23:30:00,2.64,0.068
2022,2021-10-05 16:15:00,0.09,,2021-12-01 03:45:00,2.84,0.119
