water_year,date_level,ror_level,ror_rel_level,date_flow,ror_flow,ror_rel_flow
1980,1980-08-11 14:45:00,0.02,,1980-09-07 07:00:00,0.31,0.042
1981,1981-09-04 18:00:00,0.04,,1981-09-23 17:30:00,0.36,0.057
1982,1982-05-02 10:30:00,0.04,,1981-11-20 03:30:00,0.29,0.062
1983,1983-08-23 09:45:00,0.11,,1983-08-23 09:45:00,0.7,
1984,1983-10-03 08:15:00,0.02,,1983-10-16 10:00:00,0.29,0.038
1985,1985-02-19 06:15:00,0.02,,1985-08-20 15:45:00,0.3,
1986,1986-08-13 22:15:00,0.03,,1985-12-21 04:30:00,0.25,0.032
1987,1986-11-05 01:30:00,0.02,,1986-11-05 02:00:00,0.26,0.058
1988,1987-12-19 14:15:00,0.03,,1987-12-19 14:45:00,0.31,
1989,1988-10-03 12:15:00,0.01,,1989-02-06 12:30:00,0.09,0.015
1990,1990-06-21 15:45:00,0.04,,1990-09-18 11:30:00,0.43,0.106
1991,1991-04-11 05:00:00,0.15,0.149,1991-04-11 05:00:00,3.88,0.39
1992,1992-05-05 22:00:00,0.08,0.094,1992-05-05 22:00:00,1.81,0.305
1993,1993-01-03 18:00:00,0.02,,1993-01-09 02:45:00,0.23,0.046
1994,1993-11-09 06:00:00,0.05,,1993-12-14 16:30:00,0.37,
1995,1995-03-23 09:00:00,0.05,,1994-11-19 05:15:00,0.71,0.139
1996,1996-07-02 11:00:00,0.04,,1996-09-28 17:15:00,0.57,
1997,1997-07-29 18:15:00,0.04,,1996-10-14 18:45:00,0.38,0.088
1998,1998-02-12 11:15:00,0.08,0.063,1998-02-12 11:15:00,2.56,0.146
1999,1998-10-09 09:30:00,0.05,,1998-10-23 00:00:00,0.9,0.105
2000,2000-08-19 14:30:00,0.07,,2000-03-07 21:30:00,0.96,0.109
2001,2001-06-19 19:45:00,0.03,,2000-10-23 17:00:00,0.36,
2002,2001-10-29 15:15:00,0.02,,2002-05-25 10:30:00,0.29,0.071
2003,2002-10-03 12:00:00,0.02,,2003-01-25 03:00:00,0.23,0.046
2004,2004-08-09 04:15:00,0.04,,2004-08-09 08:45:00,0.6,
2005,2005-08-06 20:00:00,0.07,,2005-01-06 14:45:00,0.33,0.072
2006,2006-08-01 03:45:00,0.03,,2006-01-10 19:15:00,0.4,
2007,2006-11-30 16:00:00,0.06,,2006-11-30 16:00:00,0.86,
2008,2008-06-05 20:15:00,0.04,,2008-01-25 20:00:00,0.61,0.076
2009,2008-10-04 06:00:00,0.02,,2008-10-25 09:00:00,0.41,0.054
2010,2010-01-16 01:30:00,0.02,,2010-09-20 06:15:00,0.34,
2011,2011-09-02 02:15:00,0.03,,2011-09-12 15:30:00,0.42,0.053
2012,2012-06-22 16:30:00,0.08,,2012-08-27 19:00:00,0.76,
2013,2012-11-19 05:15:00,0.02,0.024,2012-11-19 05:15:00,0.39,0.073
2014,2013-12-05 02:45:00,0.02,,2014-01-25 05:30:00,0.3,
2015,2015-07-17 20:30:00,0.03,,2014-10-28 04:00:00,0.44,0.036
2016,2016-08-07 16:45:00,0.03,,2016-09-24 21:15:00,0.61,0.123
2017,2017-06-05 16:15:00,0.03,,2017-08-23 04:15:00,0.53,
2018,2018-08-31 13:45:00,0.24,,2018-09-15 12:30:00,2.29,
2019,2019-07-27 11:45:00,0.16,,2019-09-08 10:15:00,1.69,
2020,2019-10-05 11:30:00,0.17,,2019-10-06 11:30:00,1.61,
2021,2021-04-19 13:45:00,0.17,,2020-11-06 11:30:00,1.45,
2022,2021-10-07 10:45:00,0.15,,2021-10-05 11:00:00,1.43,
