water_year,date_level,ror_level,ror_rel_level,date_flow,ror_flow,ror_rel_flow
1988,1988-07-10 03:45:00,0.68,1.172,1988-07-10 03:45:00,24.49,11.183
1989,1989-01-01 09:00:00,0.43,0.672,1988-10-26 00:15:00,19.25,0.43
1990,1990-06-06 16:45:00,0.63,0.578,1990-06-06 16:45:00,41.68,2.328
1991,1990-12-11 17:45:00,0.58,0.866,1990-12-11 17:45:00,22.59,5.929
1992,1992-08-03 03:45:00,0.35,0.412,1991-12-23 05:45:00,24.68,0.423
1993,1993-09-19 20:15:00,0.45,,1993-01-09 04:15:00,17.15,0.286
1994,1994-08-23 11:15:00,0.44,,1993-11-09 12:15:00,15.56,2.097
1995,1995-09-24 03:30:00,0.35,,1994-12-08 07:00:00,20.24,0.367
1996,1996-08-20 19:15:00,0.32,,1995-10-26 07:45:00,8.7,0.193
1997,1997-09-15 11:15:00,0.45,0.726,1997-09-15 11:15:00,14.22,4.903
1998,1997-10-10 02:15:00,0.41,,1998-08-17 01:15:00,20.01,0.444
1999,1999-09-23 00:45:00,0.44,0.564,1998-10-24 11:30:00,21.76,0.411
2000,2000-08-31 14:15:00,0.61,0.847,2000-08-31 14:30:00,32.07,1.028
2001,2001-07-03 23:45:00,0.55,0.426,2001-07-03 23:45:00,41.23,1.443
2002,2002-07-30 20:30:00,0.47,0.691,2002-06-04 19:15:00,20.33,1.294
2003,2003-04-25 21:45:00,0.47,0.825,2003-01-17 04:45:00,24.18,1.596
2004,2003-11-02 04:15:00,0.56,1.077,2004-08-08 21:45:00,23.07,1.402
2005,2005-09-26 18:30:00,0.54,0.651,2005-09-26 18:30:00,24.61,3.115
2006,2006-09-27 20:30:00,0.41,0.512,2006-09-27 20:30:00,16.55,2.351
2007,2007-06-12 15:30:00,0.95,2.111,2007-06-12 15:30:00,34.01,64.17
2008,2008-05-10 18:45:00,0.86,1.654,2008-05-10 18:45:00,32.17,25.736
2009,2009-07-06 15:45:00,0.59,1.113,2009-04-08 03:00:00,24.58,2.965
2010,2010-07-14 20:45:00,0.41,0.661,2009-11-21 15:30:00,24.54,0.426
2011,2010-11-08 00:00:00,0.43,0.524,2010-10-01 13:00:00,23.29,0.547
2012,2012-08-27 12:00:00,0.4,0.426,2011-11-27 03:15:00,24.97,0.467
2013,2013-07-28 08:30:00,0.34,0.43,2013-01-28 16:00:00,18.91,0.276
2014,2013-10-03 00:45:00,0.79,1.234,2014-03-20 11:45:00,35.37,3.353
2015,2015-07-17 05:15:00,0.84,1.235,2015-07-17 05:15:00,38.33,9.281
2016,2016-05-02 09:00:00,0.49,0.598,2015-11-08 15:45:00,23.97,0.382
2017,2017-06-05 10:15:00,0.54,1.038,2017-08-23 06:15:00,23.29,0.552
2018,2017-11-07 06:00:00,0.3,0.313,2017-11-07 06:45:00,15.93,0.302
2019,2019-08-01 19:45:00,0.4,0.513,2019-08-09 22:45:00,19.66,0.613
2020,2020-03-17 19:30:00,0.29,0.207,2020-03-17 19:45:00,22.53,0.412
2021,2021-03-10 00:30:00,0.51,0.554,2021-03-10 00:30:00,25.75,2.339
2022,2021-10-28 05:30:00,0.17,0.062,2021-10-28 05:30:00,14.26,0.104
