water_year,date_level,ror_level,ror_rel_level,date_flow,ror_flow,ror_rel_flow
1992,1992-08-30 11:15:00,0.03,,1992-08-30 11:15:00,0.29,
1993,1993-01-23 17:15:00,0.07,0.156,1993-01-23 17:30:00,0.93,0.262
1994,1993-10-06 04:30:00,0.1,0.12,1993-10-06 04:30:00,1.93,0.219
1995,1994-12-08 09:15:00,0.12,0.273,1994-12-08 09:30:00,1.96,0.467
1996,1995-11-12 01:00:00,0.03,,1995-11-15 16:30:00,0.32,0.147
1997,1997-06-28 02:15:00,0.1,0.189,1997-06-28 02:30:00,1.57,0.297
1998,1997-12-11 09:30:00,0.06,0.125,1997-12-11 09:30:00,0.74,0.232
1999,1999-07-03 18:00:00,0.09,0.257,1998-11-02 22:45:00,1.77,0.155
2000,2000-08-28 08:30:00,0.25,0.568,2000-08-28 08:30:00,3.72,1.414
2001,2000-11-06 17:00:00,0.65,0.714,2000-11-06 17:00:00,15.06,1.452
2002,2001-12-05 14:30:00,0.06,0.194,2002-01-24 06:30:00,0.94,0.119
2003,2002-10-22 05:00:00,0.08,0.057,2002-10-22 05:00:00,1.89,0.088
2004,2004-07-04 18:00:00,0.13,0.5,2004-07-04 18:00:00,1.28,1.542
2005,2004-10-17 14:00:00,0.11,0.139,2004-10-17 14:00:00,2.06,0.252
2006,2005-10-11 23:00:00,0.05,0.1,2005-10-24 11:15:00,0.78,0.165
2007,2007-06-21 19:30:00,0.09,,2007-08-19 08:45:00,1.3,0.138
2008,2008-08-07 01:00:00,0.37,0.462,2008-08-07 01:00:00,7.64,0.923
2009,2009-07-06 18:15:00,0.12,,2009-09-03 11:30:00,1.45,0.184
2010,2010-01-16 09:00:00,0.25,0.238,2010-01-16 09:00:00,5.71,0.432
2011,2011-07-09 06:30:00,0.43,1.72,2011-07-09 06:30:00,5.32,6.734
2012,2012-07-07 01:00:00,0.15,0.294,2012-07-07 01:00:00,2.31,0.658
2013,2013-05-20 20:15:00,0.28,0.7,2013-05-20 20:15:00,4.15,2.015
2014,2014-06-04 16:00:00,0.16,0.291,2014-06-04 16:15:00,2.87,0.432
2015,2014-11-14 16:30:00,0.08,0.103,2014-11-14 16:30:00,1.32,0.165
2016,2016-07-20 21:15:00,0.27,0.54,2016-07-20 21:15:00,4.5,1.38
2017,2016-11-22 14:30:00,0.15,0.133,2016-11-22 09:00:00,3.62,0.199
2018,2018-04-04 13:15:00,0.07,0.117,2018-04-04 13:15:00,1.19,0.249
2019,2019-08-09 15:00:00,0.09,0.231,2019-06-12 19:45:00,1.3,0.13
2020,2019-11-28 05:15:00,0.24,0.245,2019-11-28 05:15:00,5.26,0.449
2021,2020-12-04 19:00:00,0.25,0.278,2020-12-04 19:00:00,5.34,0.523
2022,2021-12-01 02:00:00,0.16,0.235,2021-12-01 02:00:00,2.89,0.469
